time_sec,ue_id,from_cell,to_cell,event,executed_ok
3.20525,5,3,4,START,0
3.20702,5,3,4,SUCCESS,1
6.20675,14,6,5,START,0
6.20852,14,6,5,SUCCESS,1
6.20898,3,2,6,START,0
6.21077,3,2,6,SUCCESS,1
6.343,10,4,3,START,0
6.34477,10,4,3,SUCCESS,1
6.63573,7,4,2,START,0
6.63752,7,4,2,SUCCESS,1
6.9492,8,5,6,START,0
6.95077,8,5,6,SUCCESS,1
6.96948,9,4,2,START,0
6.97127,9,4,2,SUCCESS,1
8.01773,12,5,4,START,0
8.01952,12,5,4,SUCCESS,1
12.2135,6,3,8,START,0
12.214,10,3,2,START,0
12.2153,6,3,8,SUCCESS,1
12.2158,10,3,2,SUCCESS,1
12.2608,9,2,6,START,0
12.2625,9,2,6,SUCCESS,1
13.953,12,4,2,START,0
13.9548,12,4,2,SUCCESS,1
15.2535,4,3,8,START,0
15.2553,4,3,8,SUCCESS,1
16.1617,16,6,7,START,0
16.1635,16,6,7,SUCCESS,1
16.5727,7,2,8,START,0
16.5745,7,2,8,SUCCESS,1
16.798,12,2,3,START,0
16.7998,12,2,3,SUCCESS,1
18.2162,2,2,6,START,0
18.218,2,2,6,SUCCESS,1
18.2225,11,5,2,START,0
18.224,13,5,6,START,0
18.2243,11,5,2,SUCCESS,1
18.2258,13,5,6,SUCCESS,1
18.5115,10,2,5,START,0
18.5133,10,2,5,SUCCESS,1
19.1525,9,6,7,START,0
19.1543,9,6,7,SUCCESS,1
19.7152,5,4,2,START,0
19.717,5,4,2,SUCCESS,1
19.7236,3,6,5,START,0
19.7253,3,6,5,SUCCESS,1
22.71,19,7,2,START,0
22.7118,19,7,2,SUCCESS,1
22.7187,12,3,2,START,0
22.7205,12,3,2,SUCCESS,1
