time_sec,ue_id,from_cell,to_cell,event,executed_ok
6.17398,15,6,8,START,0
6.17577,15,6,8,SUCCESS,1
7.78023,9,4,6,START,0
7.78202,9,4,6,SUCCESS,1
10.393,7,4,8,START,0
10.3948,7,4,8,SUCCESS,1
14.27,19,7,5,START,0
14.2718,19,7,5,SUCCESS,1
16.22,10,4,6,START,0
16.2218,10,4,6,SUCCESS,1
18.9695,15,8,2,START,0
18.9713,15,8,2,SUCCESS,1
20.3665,11,5,8,START,0
20.3683,11,5,8,SUCCESS,1
20.4738,2,2,6,START,0
20.4755,2,2,6,SUCCESS,1
22.3268,10,6,4,START,0
22.3285,10,6,4,SUCCESS,1
22.5743,9,6,7,START,0
22.576,9,6,7,SUCCESS,1
22.8757,5,3,2,START,0
22.8775,5,3,2,SUCCESS,1
23.9727,19,5,7,START,0
23.9745,19,5,7,SUCCESS,1
29.2702,16,6,8,START,0
29.272,16,6,8,SUCCESS,1
30.718,11,8,5,START,0
30.7198,11,8,5,SUCCESS,1
32.424,10,4,8,START,0
32.4258,10,4,8,SUCCESS,1
32.7195,8,5,3,START,0
32.7213,8,5,3,SUCCESS,1
33.6203,4,3,5,START,0
33.622,4,3,5,SUCCESS,1
39.7748,20,8,7,START,0
39.7765,20,8,7,SUCCESS,1
39.8729,6,3,8,START,0
39.8745,6,3,8,SUCCESS,1
40.1225,8,3,6,START,0
40.1243,8,3,6,SUCCESS,1
42.7723,5,2,3,START,0
42.774,5,2,3,SUCCESS,1
44.1745,9,7,2,START,0
44.1763,9,7,2,SUCCESS,1
45.5752,11,5,2,START,0
45.577,11,5,2,SUCCESS,1
46.518,12,5,8,START,0
46.5198,12,5,8,SUCCESS,1
46.9675,19,7,3,START,0
46.9693,19,7,3,SUCCESS,1
47.9702,10,8,5,START,0
47.972,10,8,5,SUCCESS,1
48.2665,6,8,6,START,0
48.2683,6,8,6,SUCCESS,1
52.8915,10,5,6,START,0
52.8933,10,5,6,SUCCESS,1
53.781,8,6,4,START,0
53.7828,8,6,4,SUCCESS,1
55.6965,16,8,5,START,0
55.6983,16,8,5,SUCCESS,1
58.7227,13,5,7,START,0
58.7245,13,5,7,SUCCESS,1
59.2325,10,6,8,START,0
59.2343,10,6,8,SUCCESS,1
67.8713,4,5,7,START,0
67.873,4,5,7,SUCCESS,1
72.079,10,8,6,START,0
72.0808,10,8,6,SUCCESS,1
73.726,8,4,7,START,0
73.7278,8,4,7,SUCCESS,1
74.3737,12,8,5,START,0
74.3755,12,8,5,SUCCESS,1
77.221,10,6,3,START,0
77.2228,10,6,3,SUCCESS,1
78.2368,6,6,2,START,0
78.2385,6,6,2,SUCCESS,1
78.7822,8,7,2,START,0
78.784,8,7,2,SUCCESS,1
79.2462,19,3,5,START,0
79.248,19,3,5,SUCCESS,1
82.4377,4,7,4,START,0
82.4393,4,7,4,SUCCESS,1
82.7808,7,8,4,START,0
82.7825,7,8,4,SUCCESS,1
84.4197,19,5,7,START,0
84.4215,19,5,7,SUCCESS,1
86.5178,8,2,6,START,0
86.5195,8,2,6,SUCCESS,1
87.1193,18,7,2,START,0
87.121,18,7,2,SUCCESS,1
