time_sec,ue_id,from_cell,to_cell,event,executed_ok
1.10475,8,2,4,START,0
1.10652,8,2,4,SUCCESS,1
1.205,4,2,5,START,0
1.20677,4,2,5,SUCCESS,1
1.30525,3,2,7,START,0
1.30702,3,2,7,SUCCESS,1
1.4036,8,4,2,START,0
1.40527,8,4,2,SUCCESS,1
1.50575,4,5,2,START,0
1.50752,4,5,2,SUCCESS,1
1.60375,3,7,2,START,0
1.60552,3,7,2,SUCCESS,1
1.70625,4,2,7,START,0
1.70802,4,2,7,SUCCESS,1
1.8065,5,2,4,START,0
1.80827,5,2,4,SUCCESS,1
1.90675,4,7,2,START,0
1.90852,4,7,2,SUCCESS,1
2.007,5,4,2,START,0
2.00877,5,4,2,SUCCESS,1
2.10725,8,2,5,START,0
2.10902,8,2,5,SUCCESS,1
2.2075,15,5,6,START,0
2.20927,15,5,6,SUCCESS,1
2.30775,8,5,2,START,0
2.30952,8,5,2,SUCCESS,1
2.408,15,6,5,START,0
2.40977,15,6,5,SUCCESS,1
2.63073,4,2,6,START,0
2.63252,4,2,6,SUCCESS,1
2.78275,4,6,2,START,0
2.78452,4,6,2,SUCCESS,1
2.92723,3,2,8,START,0
2.92902,3,2,8,SUCCESS,1
3.0095,6,2,6,START,0
3.01127,6,2,6,SUCCESS,1
3.10975,3,8,2,START,0
3.11152,3,8,2,SUCCESS,1
3.21,20,4,5,START,0
3.21177,20,4,5,SUCCESS,1
3.30573,6,6,2,START,0
3.30752,6,6,2,SUCCESS,1
3.40575,8,2,4,START,0
3.40752,8,2,4,SUCCESS,1
3.51048,3,2,7,START,0
3.51227,3,2,7,SUCCESS,1
3.60523,20,5,4,START,0
3.60702,20,5,4,SUCCESS,1
3.7102,6,2,5,START,0
3.71177,6,2,5,SUCCESS,1
3.80625,3,7,2,START,0
3.80802,3,7,2,SUCCESS,1
3.90523,8,4,2,START,0
3.90702,8,4,2,SUCCESS,1
4.01023,6,5,2,START,0
4.01202,6,5,2,SUCCESS,1
4.115,4,2,6,START,0
4.11677,4,2,6,SUCCESS,1
4.2125,6,2,6,START,0
4.21427,6,2,6,SUCCESS,1
4.31275,4,6,2,START,0
4.31452,4,6,2,SUCCESS,1
4.413,3,2,8,START,0
4.41477,3,2,8,SUCCESS,1
4.5076,6,6,2,START,0
4.50927,6,6,2,SUCCESS,1
4.6135,7,2,3,START,0
4.61527,7,2,3,SUCCESS,1
4.7075,3,8,2,START,0
4.70927,3,8,2,SUCCESS,1
4.814,7,3,2,START,0
4.81577,7,3,2,SUCCESS,1
4.91425,5,2,4,START,0
4.91602,5,2,4,SUCCESS,1
5.0085,6,2,8,START,0
5.01027,6,2,8,SUCCESS,1
5.1102,3,2,6,START,0
5.11177,3,2,6,SUCCESS,1
5.20565,5,4,2,START,0
5.20727,5,4,2,SUCCESS,1
5.3092,3,6,2,START,0
5.31077,3,6,2,SUCCESS,1
5.40313,6,8,2,START,0
5.40477,6,8,2,SUCCESS,1
5.51575,4,2,5,START,0
5.51752,4,2,5,SUCCESS,1
5.68323,4,5,2,START,0
5.68502,4,5,2,SUCCESS,1
5.71073,5,2,8,START,0
5.71252,5,2,8,SUCCESS,1
5.89123,5,8,2,START,0
5.89302,5,8,2,SUCCESS,1
5.91675,4,2,6,START,0
5.91852,4,2,6,SUCCESS,1
6.017,6,2,8,START,0
6.01877,6,2,8,SUCCESS,1
6.1172,8,2,5,START,0
6.11877,8,2,5,SUCCESS,1
6.209,4,6,2,START,0
6.21077,4,6,2,SUCCESS,1
6.31448,8,5,2,START,0
6.31627,8,5,2,SUCCESS,1
6.40923,6,8,2,START,0
6.41102,6,8,2,SUCCESS,1
6.6185,4,2,8,START,0
6.62027,4,2,8,SUCCESS,1
6.71875,5,2,3,START,0
6.72052,5,2,3,SUCCESS,1
6.81373,6,2,4,START,0
6.81552,6,2,4,SUCCESS,1
6.90625,4,8,2,START,0
6.90802,4,8,2,SUCCESS,1
7.00998,5,3,2,START,0
7.01177,5,3,2,SUCCESS,1
7.11,19,4,3,START,0
7.11177,19,4,3,SUCCESS,1
7.20325,4,2,6,START,0
7.20502,4,2,6,SUCCESS,1
7.31025,6,4,2,START,0
7.31202,6,4,2,SUCCESS,1
7.41048,19,3,4,START,0
7.41227,19,3,4,SUCCESS,1
7.5105,5,2,3,START,0
7.51227,5,2,3,SUCCESS,1
7.61073,20,4,5,START,0
7.61252,20,4,5,SUCCESS,1
7.72125,3,2,4,START,0
7.72302,3,2,4,SUCCESS,1
7.81098,4,6,2,START,0
7.81277,4,6,2,SUCCESS,1
7.92175,5,3,2,START,0
7.92352,5,3,2,SUCCESS,1
8.01123,3,4,2,START,0
8.01302,3,4,2,SUCCESS,1
8.12225,8,2,4,START,0
8.12402,8,2,4,SUCCESS,1
8.2225,5,2,3,START,0
8.22427,5,2,3,SUCCESS,1
8.32275,8,4,2,START,0
8.32452,8,4,2,SUCCESS,1
8.423,5,3,2,START,0
8.42477,5,3,2,SUCCESS,1
8.52325,8,2,4,START,0
8.52502,8,2,4,SUCCESS,1
8.6175,3,2,8,START,0
8.61927,3,2,8,SUCCESS,1
8.71948,8,4,2,START,0
8.72127,8,4,2,SUCCESS,1
8.81425,5,2,8,START,0
8.81602,5,2,8,SUCCESS,1
8.90998,3,8,2,START,0
8.91177,3,8,2,SUCCESS,1
9.0165,5,8,2,START,0
9.01827,5,8,2,SUCCESS,1
9.1125,6,2,8,START,0
9.11427,6,2,8,SUCCESS,1
9.20698,8,2,4,START,0
9.20877,8,2,4,SUCCESS,1
