SessionID,ElapsedTime,Node,CellID,Level,Qual,SNR,CQI,SecondCell_RSRP,SecondCell_SNR,NRxLev1,NQual1,Speed,DL_bitrate,UL_bitrate,BANDWIDTH,Latitude,Longitude
1,500,3,2,-44.778,-19.5,38.9712,15,-64.3164,6.18406,-64.3164,-19.5,1.2,0,0,20,3.07827,101.609
2,500,3,2,-44.2522,-19.5,51.6971,15,-64.3772,6.07567,-64.3772,-19.5,1.5,0,0,20,3.07829,101.609
3,500,3,2,-53.8699,-19.5,23.7552,13,-62.2556,9.63804,-62.2556,-19.5,1.8,0,0,20,3.07785,101.608
4,500,3,2,-54.0766,-19.5,23.4081,13,-62.1513,9.81159,-62.1513,-19.5,1,0,0,20,3.07848,101.608
5,500,3,2,-54.1911,-19.5,23.1688,13,-62.1037,9.91118,-62.1037,-19.5,2,0,0,20,3.07848,101.61
6,500,3,2,-53.8678,-19.5,23.7598,13,-62.2618,9.6251,-62.2618,-19.5,1.3,0,0,20,3.07911,101.608
7,500,3,2,-52.1828,-19.5,26.5503,15,-62.9626,8.45911,-62.9626,-19.5,1.7,0,0,20,3.07803,101.609
8,500,3,2,-53.9758,-19.5,36.8454,15,-62.2176,17.8438,-62.2176,-19.5,1.6,0,0,20,3.07912,101.609
17,500,4,3,-44.8378,-19.5,51.0485,15,-65.2335,4.64617,-65.2335,-19.5,3,0,0,20,3.07866,101.612
18,500,4,3,-51.2363,-19.5,28.1365,15,-63.1996,8.06231,-63.1996,-19.5,1.5,0,0,20,3.0789,101.611
19,500,5,4,-53.8991,-19.5,23.4397,13,-64.0324,6.70416,-64.0324,-19.5,15,0,0,20,3.08075,101.611
20,500,5,4,-54.8615,-19.5,21.8574,12,-65.7198,3.923,-65.7198,-19.5,30,0,0,20,3.08169,101.61
9,500,6,5,-51.4063,-19.5,41.8083,15,-66.2578,2.90789,-66.2578,-19.5,3.5,0,0,20,3.08135,101.607
10,500,6,5,-50.685,-19.5,43.1549,15,-65.6592,14.6017,-65.6592,-19.5,4,0,0,20,3.08114,101.607
15,500,6,5,-54.6057,-19.5,22.5748,12,-62.1472,9.79552,-62.1472,-19.5,4.5,0,0,20,3.08001,101.607
11,500,7,6,-38.8864,-19.5,57.1354,15,-65.324,4.48883,-65.324,-19.5,1.4,0,0,20,3.07855,101.606
