ho_number,sim_time_sec,ue_id,from_cell,to_cell,event,executed_ok,trigger_type,serving_SINR_dB,target_SINR_dB,f_gamma_Eq5,serving_NUEs,target_NUEs,PRBs_per_UE_serving,PRBs_per_UE_target,TOTAL_PRB,f_PRB_Eq6,RRU_PrbUsedDl_serving_pct,RRU_PrbUsedDl_target_pct,PRB_source,RSRP_serving_dBm,RSRP_target_dBm,RSRPpilot_serving,RSRPpilot_target,Omega_gamma_Eq2,Omega_PRB_Eq3,fWF_Eq1,delta_HOM_Eq8,delta_HOM_case,Algo1_threshold,Algo1_HO_decision,NCL_target_load_pct,NCL_gate_result,serving_cell_load_pct,load_balance_result,load_diff_ues,latency_sec,ho_success,data_source
1,1777171925,8,2,4,COMMAND_SENT,0,SINR,23.0000,21.0000,-0.0667,8,2,3.50,14.00,28,0.3750,0.0,0.0,NUE_fallback,-7.0000,-9.0000,0.6983,1.7625,0.2972,0.1741,-0.4293,-4.2930,Case1_both_same_side_gth__DHOM=HOM_x_fWF,-3.5946,HO_APPROVED__RSRPpilot_T_wins,10.0,NCL_PASSED__load_below_50pct,40.0,LOAD_REDUCED__good_LB,6,0.00,0,REAL_from_getTargetCellID
2,1777171935,8,2,4,COMPLETED,1,SINR,23.0000,21.0000,-0.0667,8,2,3.50,14.00,28,0.3750,0.0,0.0,NUE_fallback,-7.0000,-9.0000,0.6983,1.7625,0.2972,0.1741,-0.4293,-4.2930,Case1_both_same_side_gth__DHOM=HOM_x_fWF,-3.5946,HO_APPROVED__RSRPpilot_T_wins,10.0,NCL_PASSED__load_below_50pct,40.0,LOAD_REDUCED__good_LB,6,10.00,1,REAL_from_getTargetCellID
3,1777171939,4,2,5,COMMAND_SENT,0,SINR,23.0000,17.0000,-0.2000,7,3,4.00,9.33,28,0.1905,0.0,0.0,NUE_fallback,-7.0000,-13.0000,0.7981,0.4678,0.3042,0.2052,-0.4809,-4.8090,Case1_both_same_side_gth__DHOM=HOM_x_fWF,-4.0109,HO_APPROVED__RSRPpilot_T_wins,15.0,NCL_PASSED__load_below_50pct,35.0,LOAD_REDUCED__good_LB,4,0.00,0,REAL_from_getTargetCellID
4,1777171950,4,2,5,COMPLETED,1,SINR,23.0000,17.0000,-0.2000,7,3,4.00,9.33,28,0.1905,0.0,0.0,NUE_fallback,-7.0000,-13.0000,0.7981,0.4678,0.3042,0.2052,-0.4809,-4.8090,Case1_both_same_side_gth__DHOM=HOM_x_fWF,-4.0109,HO_APPROVED__RSRPpilot_T_wins,15.0,NCL_PASSED__load_below_50pct,35.0,LOAD_REDUCED__good_LB,4,11.00,1,REAL_from_getTargetCellID
5,1777171953,3,2,7,COMMAND_SENT,0,SINR,23.0000,21.0000,-0.0667,6,2,4.67,14.00,28,0.3333,0.0,0.0,NUE_fallback,-7.0000,-9.0000,0.9311,1.7625,0.2948,0.1842,-0.4196,-4.1958,Case1_both_same_side_gth__DHOM=HOM_x_fWF,-3.2646,HO_APPROVED__RSRPpilot_T_wins,10.0,NCL_PASSED__load_below_50pct,30.0,LOAD_REDUCED__good_LB,4,0.00,0,REAL_from_getTargetCellID
6,1777171964,3,2,7,COMPLETED,1,SINR,23.0000,21.0000,-0.0667,6,2,4.67,14.00,28,0.3333,0.0,0.0,NUE_fallback,-7.0000,-9.0000,0.9311,1.7625,0.2948,0.1842,-0.4196,-4.1958,Case1_both_same_side_gth__DHOM=HOM_x_fWF,-3.2646,HO_APPROVED__RSRPpilot_T_wins,10.0,NCL_PASSED__load_below_50pct,30.0,LOAD_REDUCED__good_LB,4,11.00,1,REAL_from_getTargetCellID
7,1777171965,8,4,2,COMMAND_SENT,0,SINR,9.0000,23.0000,0.4667,3,5,9.33,5.60,28,-0.1333,0.0,0.0,NUE_fallback,-21.0000,-7.0000,0.0741,1.1173,0.1496,0.3179,-0.4507,-4.5068,Case1_both_same_side_gth__DHOM=HOM_x_fWF,-4.4326,HO_APPROVED__RSRPpilot_T_wins,25.0,NCL_PASSED__load_below_50pct,15.0,LOAD_INCREASED__SINR_driven,-2,0.00,0,REAL_from_getTargetCellID
8,1777171978,8,4,2,COMPLETED,1,SINR,9.0000,23.0000,0.4667,3,5,9.33,5.60,28,-0.1333,0.0,0.0,NUE_fallback,-21.0000,-7.0000,0.0741,1.1173,0.1496,0.3179,-0.4507,-4.5068,Case1_both_same_side_gth__DHOM=HOM_x_fWF,-4.4326,HO_APPROVED__RSRPpilot_T_wins,25.0,NCL_PASSED__load_below_50pct,15.0,LOAD_INCREASED__SINR_driven,-2,13.00,1,REAL_from_getTargetCellID
9,1777171981,4,5,2,COMMAND_SENT,0,SINR,6.0000,23.0000,0.5667,4,6,7.00,4.67,28,-0.0833,0.0,0.0,NUE_fallback,-24.0000,-7.0000,0.0279,0.9311,0.1255,0.3138,-0.4797,-4.7973,Case1_both_same_side_gth__DHOM=HOM_x_fWF,-4.7694,HO_APPROVED__RSRPpilot_T_wins,30.0,NCL_PASSED__load_below_50pct,20.0,LOAD_INCREASED__SINR_driven,-2,0.00,0,REAL_from_getTargetCellID
10,1777171992,4,5,2,COMPLETED,1,SINR,6.0000,23.0000,0.5667,4,6,7.00,4.67,28,-0.0833,0.0,0.0,NUE_fallback,-24.0000,-7.0000,0.0279,0.9311,0.1255,0.3138,-0.4797,-4.7973,Case1_both_same_side_gth__DHOM=HOM_x_fWF,-4.7694,HO_APPROVED__RSRPpilot_T_wins,30.0,NCL_PASSED__load_below_50pct,20.0,LOAD_INCREASED__SINR_driven,-2,11.00,1,REAL_from_getTargetCellID
11,1777171993,3,7,2,COMMAND_SENT,0,SINR,9.0000,23.0000,0.4667,3,7,9.33,4.00,28,-0.1905,0.0,0.0,NUE_fallback,-21.0000,-7.0000,0.0741,0.7981,0.1478,0.3298,-0.4564,-4.5642,Case1_both_same_side_gth__DHOM=HOM_x_fWF,-4.4900,HO_APPROVED__RSRPpilot_T_wins,35.0,NCL_PASSED__load_below_50pct,15.0,LOAD_INCREASED__SINR_driven,-4,0.00,0,REAL_from_getTargetCellID
