time_sec,ue_id,from_cell,to_cell,event,executed_ok
1.804,5,2,8,START,0
1.80577,5,2,8,SUCCESS,1
1.86323,4,2,6,START,0
1.86502,4,2,6,SUCCESS,1
1.97673,3,2,7,START,0
1.97852,3,2,7,SUCCESS,1
2.27898,8,2,4,START,0
2.28077,8,2,4,SUCCESS,1
3.157,19,4,3,START,0
3.15877,19,4,3,SUCCESS,1
4.67398,7,2,8,START,0
4.67577,7,2,8,SUCCESS,1
5.34621,19,3,4,START,0
5.34777,19,3,4,SUCCESS,1
5.7665,5,8,3,START,0
5.76827,5,8,3,SUCCESS,1
5.97923,14,7,8,START,0
5.98102,14,7,8,SUCCESS,1
6.0695,16,8,7,START,0
6.07127,16,8,7,SUCCESS,1
7.6535,13,7,8,START,0
7.65527,13,7,8,SUCCESS,1
8.14923,14,8,7,START,0
8.15102,14,8,7,SUCCESS,1
8.3726,16,7,8,START,0
8.37427,16,7,8,SUCCESS,1
9.72625,13,8,7,START,0
9.72802,13,8,7,SUCCESS,1
11.0727,14,7,8,START,0
11.0745,14,7,8,SUCCESS,1
11.3672,16,8,7,START,0
11.369,16,8,7,SUCCESS,1
13.4417,16,7,8,START,0
13.4435,16,7,8,SUCCESS,1
13.574,14,8,7,START,0
13.5758,14,8,7,SUCCESS,1
13.8708,13,7,8,START,0
13.8725,13,7,8,SUCCESS,1
16.0455,13,8,7,START,0
16.0473,13,8,7,SUCCESS,1
16.1423,14,7,8,START,0
16.144,14,7,8,SUCCESS,1
18.2228,14,8,7,START,0
18.2245,14,8,7,SUCCESS,1
19.9518,13,7,8,START,0
19.9535,13,7,8,SUCCESS,1
