ho_number,sim_time_sec,ue_id,from_cell,to_cell,event,executed_ok,trigger_type,serving_SINR_dB,target_SINR_dB,f_gamma_Eq5,serving_NUEs,target_NUEs,PRBs_per_UE_serving,PRBs_per_UE_target,TOTAL_PRB,f_PRB_Eq6,RRU_PrbUsedDl_serving_pct,RRU_PrbUsedDl_target_pct,PRB_source,RSRP_serving_dBm,RSRP_target_dBm,RSRPpilot_serving,RSRPpilot_target,Omega_gamma_Eq2,Omega_PRB_Eq3,fWF_Eq1,delta_HOM_Eq8,delta_HOM_case,Algo1_threshold,Algo1_HO_decision,NCL_target_load_pct,NCL_gate_result,serving_cell_load_pct,load_balance_result,load_diff_ues,latency_sec,ho_success,data_source
1,1777344272,5,2,8,COMMAND_SENT,0,SINR,22.0000,17.0000,-0.1667,8,1,3.50,28.00,28,0.8750,0.0,0.0,NUE_fallback,-8.0000,-13.0000,0.5547,1.4033,0.3687,0.0395,-0.5436,-5.4356,Case1_both_same_side_gth__DHOM=HOM_x_fWF,-4.8809,HO_APPROVED__RSRPpilot_T_wins,5.0,NCL_PASSED__load_below_50pct,40.0,LOAD_REDUCED__good_LB,7,0.00,0,REAL_from_getTargetCellID
2,1777344279,5,2,8,COMPLETED,1,SINR,22.0000,17.0000,-0.1667,8,1,3.50,28.00,28,0.8750,0.0,0.0,NUE_fallback,-8.0000,-13.0000,0.5547,1.4033,0.3687,0.0395,-0.5436,-5.4356,Case1_both_same_side_gth__DHOM=HOM_x_fWF,-4.8809,HO_APPROVED__RSRPpilot_T_wins,5.0,NCL_PASSED__load_below_50pct,40.0,LOAD_REDUCED__good_LB,7,7.00,1,REAL_from_getTargetCellID
3,1777344282,4,2,6,COMMAND_SENT,0,SINR,23.0000,21.0000,-0.0667,7,2,4.00,14.00,28,0.3571,0.0,0.0,NUE_fallback,-7.0000,-9.0000,0.7981,1.7625,0.2926,0.1764,-0.4535,-4.5347,Case1_both_same_side_gth__DHOM=HOM_x_fWF,-3.7366,HO_APPROVED__RSRPpilot_T_wins,10.0,NCL_PASSED__load_below_50pct,35.0,LOAD_REDUCED__good_LB,5,0.00,0,REAL_from_getTargetCellID
4,1777344294,4,2,6,COMPLETED,1,SINR,23.0000,21.0000,-0.0667,7,2,4.00,14.00,28,0.3571,0.0,0.0,NUE_fallback,-7.0000,-9.0000,0.7981,1.7625,0.2926,0.1764,-0.4535,-4.5347,Case1_both_same_side_gth__DHOM=HOM_x_fWF,-3.7366,HO_APPROVED__RSRPpilot_T_wins,10.0,NCL_PASSED__load_below_50pct,35.0,LOAD_REDUCED__good_LB,5,12.00,1,REAL_from_getTargetCellID
5,1777344298,3,2,7,COMMAND_SENT,0,SINR,23.0000,21.0000,-0.0667,6,2,4.67,14.00,28,0.3333,0.0,0.0,NUE_fallback,-7.0000,-9.0000,0.9311,1.7625,0.2948,0.1842,-0.4196,-4.1958,Case1_both_same_side_gth__DHOM=HOM_x_fWF,-3.2646,HO_APPROVED__RSRPpilot_T_wins,10.0,NCL_PASSED__load_below_50pct,30.0,LOAD_REDUCED__good_LB,4,0.00,0,REAL_from_getTargetCellID
6,1777344309,3,2,7,COMPLETED,1,SINR,23.0000,21.0000,-0.0667,6,2,4.67,14.00,28,0.3333,0.0,0.0,NUE_fallback,-7.0000,-9.0000,0.9311,1.7625,0.2948,0.1842,-0.4196,-4.1958,Case1_both_same_side_gth__DHOM=HOM_x_fWF,-3.2646,HO_APPROVED__RSRPpilot_T_wins,10.0,NCL_PASSED__load_below_50pct,30.0,LOAD_REDUCED__good_LB,4,11.00,1,REAL_from_getTargetCellID
7,1777344342,8,2,4,COMMAND_SENT,0,SINR,23.0000,21.0000,-0.0667,5,2,5.60,14.00,28,0.3000,0.0,0.0,NUE_fallback,-7.0000,-9.0000,1.1173,1.7625,0.2911,0.1910,-0.4272,-4.2716,Case1_both_same_side_gth__DHOM=HOM_x_fWF,-3.1543,HO_APPROVED__RSRPpilot_T_wins,10.0,NCL_PASSED__load_below_50pct,25.0,LOAD_REDUCED__good_LB,3,0.00,0,REAL_from_getTargetCellID
8,1777344353,8,2,4,COMPLETED,1,SINR,23.0000,21.0000,-0.0667,5,2,5.60,14.00,28,0.3000,0.0,0.0,NUE_fallback,-7.0000,-9.0000,1.1173,1.7625,0.2911,0.1910,-0.4272,-4.2716,Case1_both_same_side_gth__DHOM=HOM_x_fWF,-3.1543,HO_APPROVED__RSRPpilot_T_wins,10.0,NCL_PASSED__load_below_50pct,25.0,LOAD_REDUCED__good_LB,3,11.00,1,REAL_from_getTargetCellID
9,1777344474,19,4,3,COMMAND_SENT,0,SINR,17.0000,19.0000,0.0667,3,2,9.33,14.00,28,0.1667,0.0,0.0,NUE_fallback,-13.0000,-11.0000,0.4678,1.1121,0.3188,0.2846,0.0049,0.0488,Case1_both_same_side_gth__DHOM=HOM_x_fWF,0.5166,HO_APPROVED__RSRPpilot_T_wins,10.0,NCL_PASSED__load_below_50pct,15.0,LOAD_REDUCED__good_LB,1,0.00,0,REAL_from_getTargetCellID
10,1777344486,19,4,3,COMPLETED,1,SINR,17.0000,19.0000,0.0667,3,2,9.33,14.00,28,0.1667,0.0,0.0,NUE_fallback,-13.0000,-11.0000,0.4678,1.1121,0.3188,0.2846,0.0049,0.0488,Case1_both_same_side_gth__DHOM=HOM_x_fWF,0.5166,HO_APPROVED__RSRPpilot_T_wins,10.0,NCL_PASSED__load_below_50pct,15.0,LOAD_REDUCED__good_LB,1,12.00,1,REAL_from_getTargetCellID
