ho_number,sim_time_sec,ue_id,from_cell,to_cell,event,executed_ok,trigger_type,serving_SINR_dB,target_SINR_dB,f_gamma_Eq5,serving_NUEs,target_NUEs,PRBs_per_UE_serving,PRBs_per_UE_target,TOTAL_PRB,f_PRB_Eq6,RRU_PrbUsedDl_serving_pct,RRU_PrbUsedDl_target_pct,PRB_source,RSRP_serving_dBm,RSRP_target_dBm,RSRPpilot_serving,RSRPpilot_target,Omega_gamma_Eq2,Omega_PRB_Eq3,fWF_Eq1,delta_HOM_Eq8,delta_HOM_case,Algo1_threshold,Algo1_HO_decision,NCL_target_load_pct,NCL_gate_result,serving_cell_load_pct,load_balance_result,load_diff_ues,latency_sec,ho_success,data_source
1,1777348121,8,2,6,COMMAND_SENT,0,SINR,23.0000,12.0000,-0.3667,8,2,3.50,14.00,28,0.3750,0.0,0.0,NUE_fallback,-7.0000,-18.0000,0.6983,0.2219,0.3514,0.1607,-0.5067,-5.0673,Case1_both_same_side_gth__DHOM=HOM_x_fWF,-4.3690,HO_APPROVED__RSRPpilot_T_wins,10.0,NCL_PASSED__load_below_50pct,40.0,LOAD_REDUCED__good_LB,6,0.00,0,REAL_from_getTargetCellID
2,1777348128,8,2,6,COMPLETED,1,SINR,23.0000,12.0000,-0.3667,8,2,3.50,14.00,28,0.3750,0.0,0.0,NUE_fallback,-7.0000,-18.0000,0.6983,0.2219,0.3514,0.1607,-0.5067,-5.0673,Case1_both_same_side_gth__DHOM=HOM_x_fWF,-4.3690,HO_APPROVED__RSRPpilot_T_wins,10.0,NCL_PASSED__load_below_50pct,40.0,LOAD_REDUCED__good_LB,6,7.00,1,REAL_from_getTargetCellID
3,1777348189,4,2,6,COMMAND_SENT,0,SINR,23.0000,21.0000,-0.0667,7,3,4.00,9.33,28,0.1905,0.0,0.0,NUE_fallback,-7.0000,-9.0000,0.7981,1.1750,0.2798,0.2124,-0.4534,-4.5342,Case1_both_same_side_gth__DHOM=HOM_x_fWF,-3.7361,HO_APPROVED__RSRPpilot_T_wins,15.0,NCL_PASSED__load_below_50pct,35.0,LOAD_REDUCED__good_LB,4,0.00,0,REAL_from_getTargetCellID
4,1777348200,4,2,6,COMPLETED,1,SINR,23.0000,21.0000,-0.0667,7,3,4.00,9.33,28,0.1905,0.0,0.0,NUE_fallback,-7.0000,-9.0000,0.7981,1.1750,0.2798,0.2124,-0.4534,-4.5342,Case1_both_same_side_gth__DHOM=HOM_x_fWF,-3.7361,HO_APPROVED__RSRPpilot_T_wins,15.0,NCL_PASSED__load_below_50pct,35.0,LOAD_REDUCED__good_LB,4,11.00,1,REAL_from_getTargetCellID
5,1777348203,6,2,5,COMMAND_SENT,0,SINR,24.0000,20.0000,-0.1333,6,3,4.67,9.33,28,0.1667,0.0,0.0,NUE_fallback,-6.0000,-10.0000,1.1722,0.9333,0.2918,0.2146,-0.4557,-4.5567,Case1_both_same_side_gth__DHOM=HOM_x_fWF,-3.3845,HO_APPROVED__RSRPpilot_T_wins,15.0,NCL_PASSED__load_below_50pct,30.0,LOAD_REDUCED__good_LB,3,0.00,0,REAL_from_getTargetCellID
6,1777348215,6,2,5,COMPLETED,1,SINR,24.0000,20.0000,-0.1333,6,3,4.67,9.33,28,0.1667,0.0,0.0,NUE_fallback,-6.0000,-10.0000,1.1722,0.9333,0.2918,0.2146,-0.4557,-4.5567,Case1_both_same_side_gth__DHOM=HOM_x_fWF,-3.3845,HO_APPROVED__RSRPpilot_T_wins,15.0,NCL_PASSED__load_below_50pct,30.0,LOAD_REDUCED__good_LB,3,12.00,1,REAL_from_getTargetCellID
7,1777348233,5,2,3,COMMAND_SENT,0,SINR,22.0000,21.0000,-0.0333,5,2,5.60,14.00,28,0.3000,0.0,0.0,NUE_fallback,-8.0000,-9.0000,0.8875,1.7625,0.2865,0.1941,-0.4047,-4.0472,Case1_both_same_side_gth__DHOM=HOM_x_fWF,-3.1597,HO_APPROVED__RSRPpilot_T_wins,10.0,NCL_PASSED__load_below_50pct,25.0,LOAD_REDUCED__good_LB,3,0.00,0,REAL_from_getTargetCellID
8,1777348246,5,2,3,COMPLETED,1,SINR,22.0000,21.0000,-0.0333,5,2,5.60,14.00,28,0.3000,0.0,0.0,NUE_fallback,-8.0000,-9.0000,0.8875,1.7625,0.2865,0.1941,-0.4047,-4.0472,Case1_both_same_side_gth__DHOM=HOM_x_fWF,-3.1597,HO_APPROVED__RSRPpilot_T_wins,10.0,NCL_PASSED__load_below_50pct,25.0,LOAD_REDUCED__good_LB,3,13.00,1,REAL_from_getTargetCellID
9,1777348325,3,2,8,COMMAND_SENT,0,SINR,24.0000,17.0000,-0.2333,4,1,7.00,28.00,28,0.7500,0.0,0.0,NUE_fallback,-6.0000,-13.0000,1.7583,1.4033,0.3661,0.0742,-0.5253,-5.2534,Case1_both_same_side_gth__DHOM=HOM_x_fWF,-3.4950,HO_APPROVED__RSRPpilot_T_wins,5.0,NCL_PASSED__load_below_50pct,20.0,LOAD_REDUCED__good_LB,3,0.00,0,REAL_from_getTargetCellID
10,1777348338,3,2,8,COMPLETED,1,SINR,24.0000,17.0000,-0.2333,4,1,7.00,28.00,28,0.7500,0.0,0.0,NUE_fallback,-6.0000,-13.0000,1.7583,1.4033,0.3661,0.0742,-0.5253,-5.2534,Case1_both_same_side_gth__DHOM=HOM_x_fWF,-3.4950,HO_APPROVED__RSRPpilot_T_wins,5.0,NCL_PASSED__load_below_50pct,20.0,LOAD_REDUCED__good_LB,3,13.00,1,REAL_from_getTargetCellID
