time_sec,ue_id,from_cell,to_cell,event,executed_ok
1.09475,1,2,8,START,0
1.09652,1,2,8,SUCCESS,1
1.19923,2,2,7,START,0
1.20102,2,2,7,SUCCESS,1
1.30248,3,2,6,START,0
1.30427,3,2,6,SUCCESS,1
1.4036,4,2,4,START,0
1.40527,4,2,4,SUCCESS,1
1.50373,5,2,3,START,0
1.50552,5,2,3,SUCCESS,1
2.0052,6,2,5,START,0
2.00677,6,2,5,SUCCESS,1
2.09298,9,5,2,START,0
2.09477,9,5,2,SUCCESS,1
2.80848,7,2,8,START,0
2.81027,7,2,8,SUCCESS,1
5.308,13,7,2,START,0
5.30977,13,7,2,SUCCESS,1
5.50825,8,2,4,START,0
5.51002,8,2,4,SUCCESS,1
5.6084,4,4,2,START,0
5.61002,4,4,2,SUCCESS,1
6.1135,4,2,6,START,0
6.11527,4,2,6,SUCCESS,1
6.20898,3,6,2,START,0
6.21077,3,6,2,SUCCESS,1
6.51623,20,4,5,START,0
6.51802,20,4,5,SUCCESS,1
6.60448,6,5,4,START,0
6.60627,6,5,4,SUCCESS,1
6.7108,3,2,7,START,0
6.71252,3,2,7,SUCCESS,1
7.01148,6,4,2,START,0
7.01327,6,4,2,SUCCESS,1
8.3115,16,8,7,START,0
8.31327,16,8,7,SUCCESS,1
8.40248,2,7,8,START,0
8.40427,2,7,8,SUCCESS,1
8.812,14,7,8,START,0
8.81377,14,7,8,SUCCESS,1
8.903,1,8,7,START,0
8.90477,1,8,7,SUCCESS,1
9.0132,2,8,2,START,0
9.01477,2,8,2,SUCCESS,1
9.10425,6,2,8,START,0
9.10602,6,2,8,SUCCESS,1
9.32525,1,7,2,START,0
9.32702,1,7,2,SUCCESS,1
9.39198,9,2,4,START,0
9.39377,9,2,4,SUCCESS,1
9.51275,19,4,3,START,0
9.51452,19,4,3,SUCCESS,1
9.5945,5,3,7,START,0
9.59627,5,3,7,SUCCESS,1
10.027,5,7,2,START,0
10.0288,5,7,2,SUCCESS,1
10.1058,1,2,7,START,0
10.1075,1,2,7,SUCCESS,1
10.2145,13,2,6,START,0
10.2163,13,2,6,SUCCESS,1
10.3068,4,6,2,START,0
10.3085,4,6,2,SUCCESS,1
10.6142,5,2,4,START,0
10.616,5,2,4,SUCCESS,1
10.7142,9,4,5,START,0
10.716,9,4,5,SUCCESS,1
10.8035,10,5,4,START,0
10.8053,10,5,4,SUCCESS,1
11.415,15,5,2,START,0
11.4168,15,5,2,SUCCESS,1
11.515,13,6,7,START,0
11.5168,13,6,7,SUCCESS,1
11.603,1,7,5,START,0
11.6048,1,7,5,SUCCESS,1
11.899,13,7,2,START,0
11.9008,13,7,2,SUCCESS,1
12.0112,2,2,6,START,0
12.013,2,2,6,SUCCESS,1
12.1158,1,5,2,START,0
12.1175,1,5,2,SUCCESS,1
12.2005,4,2,7,START,0
12.2023,4,2,7,SUCCESS,1
12.3172,13,2,8,START,0
12.3188,13,2,8,SUCCESS,1
12.4025,6,8,2,START,0
12.4043,6,8,2,SUCCESS,1
12.7165,5,4,3,START,0
12.7183,5,4,3,SUCCESS,1
12.7998,17,3,4,START,0
12.8015,17,3,4,SUCCESS,1
13.018,6,2,5,START,0
13.0198,6,2,5,SUCCESS,1
13.117,5,3,2,START,0
13.1188,5,3,2,SUCCESS,1
13.3172,13,8,7,START,0
13.3188,13,8,7,SUCCESS,1
13.4037,3,7,8,START,0
13.4055,3,7,8,SUCCESS,1
13.7175,13,7,2,START,0
13.7193,13,7,2,SUCCESS,1
13.8077,1,2,3,START,0
13.8095,1,2,3,SUCCESS,1
13.913,3,8,2,START,0
13.9148,3,8,2,SUCCESS,1
14.0062,5,2,7,START,0
14.008,5,2,7,SUCCESS,1
15.7197,13,2,8,START,0
15.7215,13,2,8,SUCCESS,1
17.1163,5,7,3,START,0
17.118,5,7,3,SUCCESS,1
17.2105,1,3,2,START,0
17.2123,1,3,2,SUCCESS,1
17.5063,5,3,2,START,0
17.508,5,3,2,SUCCESS,1
17.6,1,2,3,START,0
17.6018,1,2,3,SUCCESS,1
18.1138,13,8,7,START,0
18.1155,13,8,7,SUCCESS,1
18.5318,13,7,2,START,0
18.5335,13,7,2,SUCCESS,1
18.6035,3,2,7,START,0
18.6053,3,2,7,SUCCESS,1
19.123,13,2,8,START,0
19.1248,13,2,8,SUCCESS,1
19.3187,14,8,2,START,0
19.3205,14,8,2,SUCCESS,1
19.735,14,2,7,START,0
19.7368,14,2,7,SUCCESS,1
19.7995,3,7,2,START,0
19.8013,3,7,2,SUCCESS,1
20.7255,5,2,4,START,0
20.7273,5,2,4,SUCCESS,1
20.8052,8,4,2,START,0
20.807,8,4,2,SUCCESS,1
20.9253,14,7,8,START,0
20.927,14,7,8,SUCCESS,1
21.724,13,8,7,START,0
21.7258,13,8,7,SUCCESS,1
22.1273,13,7,2,START,0
22.129,13,7,2,SUCCESS,1
22.2117,3,2,7,START,0
22.2135,3,2,7,SUCCESS,1
22.828,5,4,3,START,0
22.8298,5,4,3,SUCCESS,1
22.9075,1,3,8,START,0
22.9093,1,3,8,SUCCESS,1
23.2283,13,2,3,START,0
23.23,13,2,3,SUCCESS,1
23.3058,5,3,2,START,0
23.3075,5,3,2,SUCCESS,1
23.4207,1,8,2,START,0
23.4225,1,8,2,SUCCESS,1
23.4982,8,2,4,START,0
23.5,8,2,4,SUCCESS,1
24.3295,13,3,8,START,0
24.3313,13,3,8,SUCCESS,1
24.423,5,2,8,START,0
24.4248,5,2,8,SUCCESS,1
24.497,7,8,2,START,0
24.4988,7,8,2,SUCCESS,1
24.7302,13,8,2,START,0
24.732,13,8,2,SUCCESS,1
24.798,1,2,3,START,0
24.7998,1,2,3,SUCCESS,1
25.1307,13,2,7,START,0
25.1325,13,2,7,SUCCESS,1
25.1947,3,7,2,START,0
25.1965,3,7,2,SUCCESS,1
26.0197,19,3,8,START,0
26.0215,19,3,8,SUCCESS,1
26.1315,13,7,8,START,0
26.1333,13,7,8,SUCCESS,1
26.201,5,8,3,START,0
26.2028,5,8,3,SUCCESS,1
26.632,5,3,2,START,0
26.6338,5,3,2,SUCCESS,1
26.7077,3,2,7,START,0
26.7095,3,2,7,SUCCESS,1
26.8035,13,8,2,START,0
26.8053,13,8,2,SUCCESS,1
26.9017,7,2,8,START,0
26.9035,7,2,8,SUCCESS,1
27.7255,5,2,4,START,0
27.7273,5,2,4,SUCCESS,1
27.8022,8,4,2,START,0
27.804,8,4,2,SUCCESS,1
29.8213,5,4,3,START,0
29.823,5,4,3,SUCCESS,1
30.2432,5,3,2,START,0
30.2448,5,3,2,SUCCESS,1
30.307,8,2,4,START,0
30.3088,8,2,4,SUCCESS,1
30.7217,5,2,4,START,0
30.7235,5,2,4,SUCCESS,1
30.798,8,4,2,START,0
30.7998,8,4,2,SUCCESS,1
30.8955,13,2,3,START,0
30.8973,13,2,3,SUCCESS,1
31.2087,5,4,3,START,0
31.2105,5,4,3,SUCCESS,1
31.3047,1,3,2,START,0
31.3065,1,3,2,SUCCESS,1
31.4275,13,3,8,START,0
31.4293,13,3,8,SUCCESS,1
31.5015,7,8,3,START,0
