ho_number,sim_time_sec,ue_id,from_cell,to_cell,event,executed_ok,trigger_type,serving_SINR_dB,target_SINR_dB,f_gamma_Eq5,serving_NUEs,target_NUEs,PRBs_per_UE_serving,PRBs_per_UE_target,TOTAL_PRB,f_PRB_Eq6,RRU_PrbUsedDl_serving_pct,RRU_PrbUsedDl_target_pct,PRB_source,RSRP_serving_dBm,RSRP_target_dBm,RSRPpilot_serving,RSRPpilot_target,Omega_gamma_Eq2,Omega_PRB_Eq3,fWF_Eq1,delta_HOM_Eq8,delta_HOM_case,Algo1_threshold,Algo1_HO_decision,NCL_target_load_pct,NCL_gate_result,serving_cell_load_pct,load_balance_result,load_diff_ues,latency_sec,ho_success,data_source
1,1777354872,1,2,8,COMMAND_SENT,0,SINR,38.0000,0.0000,-1.0000,8,1,3.50,28.00,28,0.8750,0.0,0.0,NUE_fallback,0.0000,0.0000,133.0000,1064.0000,0.9412,0.0588,-0.8897,-8.8971,Case1_both_same_side_gth__DHOM=HOM_x_fWF,124.1029,HO_APPROVED__RSRPpilot_T_wins,5.0,NCL_PASSED__load_below_50pct,40.0,LOAD_REDUCED__good_LB,7,0.00,0,APPROX_post_hoc
2,1777354872,1,2,8,LB_COMMAND_SENT,1,LB,38.0000,0.0000,-1.0000,8,1,3.50,28.00,28,0.8750,0.0,0.0,NUE_fallback,0.0000,0.0000,133.0000,1064.0000,0.9412,0.0588,-0.8897,-8.8971,Case1_both_same_side_gth__DHOM=HOM_x_fWF,124.1029,HO_APPROVED__RSRPpilot_T_wins,5.0,NCL_PASSED__load_below_50pct,40.0,LOAD_REDUCED__good_LB,7,0.00,0,APPROX_post_hoc
3,1777354885,1,2,8,COMPLETED,1,LB,38.0000,0.0000,-1.0000,8,1,3.50,28.00,28,0.8750,0.0,0.0,NUE_fallback,0.0000,0.0000,133.0000,1064.0000,0.9412,0.0588,-0.8897,-8.8971,Case1_both_same_side_gth__DHOM=HOM_x_fWF,124.1029,HO_APPROVED__RSRPpilot_T_wins,5.0,NCL_PASSED__load_below_50pct,40.0,LOAD_REDUCED__good_LB,7,13.00,1,APPROX_post_hoc
4,1777354886,2,2,7,COMMAND_SENT,0,SINR,51.0000,0.0000,-1.0000,7,2,4.00,14.00,28,0.3571,0.0,0.0,NUE_fallback,0.0000,0.0000,204.0000,714.0000,0.7568,0.2432,-0.6699,-6.6988,Case1_both_same_side_gth__DHOM=HOM_x_fWF,197.3012,HO_APPROVED__RSRPpilot_T_wins,10.0,NCL_PASSED__load_below_50pct,35.0,LOAD_REDUCED__good_LB,5,0.00,0,APPROX_post_hoc
5,1777354886,2,2,7,LB_COMMAND_SENT,1,LB,51.0000,0.0000,-1.0000,7,2,4.00,14.00,28,0.3571,0.0,0.0,NUE_fallback,0.0000,0.0000,204.0000,714.0000,0.7568,0.2432,-0.6699,-6.6988,Case1_both_same_side_gth__DHOM=HOM_x_fWF,197.3012,HO_APPROVED__RSRPpilot_T_wins,10.0,NCL_PASSED__load_below_50pct,35.0,LOAD_REDUCED__good_LB,5,0.00,0,APPROX_post_hoc
6,1777354899,2,2,7,COMPLETED,1,LB,51.0000,0.0000,-1.0000,7,2,4.00,14.00,28,0.3571,0.0,0.0,NUE_fallback,0.0000,0.0000,204.0000,714.0000,0.7568,0.2432,-0.6699,-6.6988,Case1_both_same_side_gth__DHOM=HOM_x_fWF,197.3012,HO_APPROVED__RSRPpilot_T_wins,10.0,NCL_PASSED__load_below_50pct,35.0,LOAD_REDUCED__good_LB,5,13.00,1,APPROX_post_hoc
7,1777354900,3,2,6,COMMAND_SENT,0,SINR,23.0000,0.0000,-0.7667,6,2,4.67,14.00,28,0.3333,0.0,0.0,NUE_fallback,0.0000,0.0000,107.3333,322.0000,0.7260,0.2740,-0.4653,-4.6530,Case1_both_same_side_gth__DHOM=HOM_x_fWF,102.6804,HO_APPROVED__RSRPpilot_T_wins,10.0,NCL_PASSED__load_below_50pct,30.0,LOAD_REDUCED__good_LB,4,0.00,0,APPROX_post_hoc
8,1777354900,3,2,6,LB_COMMAND_SENT,1,LB,23.0000,0.0000,-0.7667,6,2,4.67,14.00,28,0.3333,0.0,0.0,NUE_fallback,0.0000,0.0000,107.3333,322.0000,0.7260,0.2740,-0.4653,-4.6530,Case1_both_same_side_gth__DHOM=HOM_x_fWF,102.6804,HO_APPROVED__RSRPpilot_T_wins,10.0,NCL_PASSED__load_below_50pct,30.0,LOAD_REDUCED__good_LB,4,0.00,0,APPROX_post_hoc
9,1777354913,3,2,6,COMPLETED,1,LB,23.0000,0.0000,-0.7667,6,2,4.67,14.00,28,0.3333,0.0,0.0,NUE_fallback,0.0000,0.0000,107.3333,322.0000,0.7260,0.2740,-0.4653,-4.6530,Case1_both_same_side_gth__DHOM=HOM_x_fWF,102.6804,HO_APPROVED__RSRPpilot_T_wins,10.0,NCL_PASSED__load_below_50pct,30.0,LOAD_REDUCED__good_LB,4,13.00,1,APPROX_post_hoc
10,1777354914,4,2,4,COMMAND_SENT,0,SINR,23.0000,0.0000,-0.7667,5,2,5.60,14.00,28,0.3000,0.0,0.0,NUE_fallback,0.0000,0.0000,128.8000,322.0000,0.7162,0.2838,-0.4640,-4.6396,Case1_both_same_side_gth__DHOM=HOM_x_fWF,124.1604,HO_APPROVED__RSRPpilot_T_wins,10.0,NCL_PASSED__load_below_50pct,25.0,LOAD_REDUCED__good_LB,3,0.00,0,APPROX_post_hoc
