# SCENARIO 3: Inter-gNB Handover (RSRP-Based with Hysteresis)
# Time(s)	IMSI	Source	Target	Current_RSRP(dBm)	Target_RSRP(dBm)	Type
1	2	6	4	-86.6235	-83.3427	MANUAL-RSRP
1	3	6	4	-90.5186	-80.0231	MANUAL-RSRP
4	5	4	5	-88.7796	-77.7915	MANUAL-RSRP
4.5	2	4	6	-90.772	-82.4523	MANUAL-RSRP
6.5	2	6	3	-87.2369	-71.0249	MANUAL-RSRP
6.5	5	5	4	-87.401	-78.7324	MANUAL-RSRP
8.5	3	4	2	-82.0539	-73.2599	MANUAL-RSRP
9	5	4	5	-85.0128	-81.7956	MANUAL-RSRP
11.5	5	5	4	-81.2637	-74.3154	MANUAL-RSRP
14	5	4	5	-82.7674	-78.9181	MANUAL-RSRP
15.5	2	3	2	-81.2837	-77.1388	MANUAL-RSRP
15.5	3	2	4	-87.9632	-76.897	MANUAL-RSRP
16	5	5	4	-92.4719	-78.276	MANUAL-RSRP
17.5	2	2	3	-88.3092	-79.5519	MANUAL-RSRP
