SessionID,ElapsedTime,Node,CellID,Level,SNR,Qual,CQI,SecondCell_RSRP,SecondCell_SNR,NRxLev1,NQual1,Speed,DL_bitrate,UL_bitrate,BANDWIDTH,Bearing,RSRQ
1,3,9,1,-110.398,12,-126.398,11,-120.398,7,29.6015,-83.3985,20,0,0,100,90,-126.398
2,3.1,10,3,-97.4031,10,-114.403,9,-107.403,5,42.5969,-71.4031,25,0,0,100,90,-114.403
3,3.2,11,3,-111.222,14,-123.222,11,-121.222,9,28.7779,-80.2221,30,0,0,100,270,-123.222
4,3.3,12,2,-97.6018,12,-111.602,11,-107.602,7,42.3982,-68.6018,20,0,0,100,90,-111.602
5,3.4,13,3,-88.958,13,-101.958,11,-98.958,8,51.042,-58.958,25,0,0,100,90,-101.958
6,3.5,14,3,-115.787,11,-127.787,11,-125.787,6,24.2129,-84.7871,30,0,0,100,90,-127.787
7,3.6,15,2,-74.6081,16,-90.6081,13,-84.6081,11,65.3919,-47.6081,20,0,0,100,90,-90.6081
8,3.7,16,3,-79.1516,24,-94.1516,15,-89.1516,19,60.8484,-51.1516,25,0,0,100,90,-94.1516
9,3.8,17,3,-120,7,-134,9,-130,2,20,-91,30,0,0,100,90,-134
10,3.9,18,2,-85.9345,15,-98.9345,11,-95.9345,10,54.0655,-55.9345,20,0,0,100,90,-98.9345
1,4,9,2,-92.0721,7,-104.072,9,-102.072,2,47.9279,-61.0721,20,0.392,0,100,90,-104.072
2,4.1,10,3,-82.6539,17,-99.6539,13,-92.6539,12,57.3461,-56.6539,25,0.232,0,100,90,-99.6539
3,4.2,11,3,-109.769,6,-125.769,9,-119.769,1,30.2311,-82.7689,30,0.08,0,100,270,-125.769
4,4.3,12,2,-83.1145,13,-98.1145,11,-93.1145,8,56.8855,-55.1145,20,0,0,100,90,-98.1145
5,4.4,13,3,-84.268,14,-101.268,11,-94.268,9,55.732,-58.268,25,0,0,100,90,-101.268
6,4.5,14,3,-117.439,9,-131.439,9,-127.439,4,22.5607,-88.4393,30,0,0,100,270,-131.439
7,4.6,15,2,-77.7713,18,-89.7713,13,-87.7713,13,62.2287,-46.7713,20,0,0,100,90,-89.7713
8,4.7,16,3,-94.6132,5,-107.613,7,-104.613,0,45.3868,-64.6132,25,0,0,100,90,-107.613
9,4.8,17,3,-120,7,-135,9,-130,2,20,-92,30,0,0,100,90,-135
10,4.9,18,2,-100.292,6,-116.292,9,-110.292,1,39.7076,-73.2924,20,0,0,100,90,-116.292
1,5,9,2,-85.536,14,-100.536,11,-95.536,9,54.464,-57.536,20,0.408,0,100,90,-100.536
2,5.1,10,3,-76.3919,20,-90.3919,13,-86.3919,15,63.6081,-47.3919,25,0.408,0,100,90,-90.3919
3,5.2,11,3,-100.611,8,-115.611,9,-110.611,3,39.3892,-72.6108,30,0.4,0,100,270,-115.611
4,5.3,12,2,-65.2353,25,-77.2353,15,-75.2353,20,74.7647,-34.2353,20,0.32,0,100,90,-77.2353
5,5.4,13,3,-97.6388,9,-112.639,9,-107.639,4,42.3612,-69.6388,25,0.152,0,100,90,-112.639
6,5.5,14,3,-114.787,9,-128.787,9,-124.787,4,25.2129,-85.7871,30,0,0,100,270,-128.787
7,5.6,15,2,-94.6802,12,-108.68,11,-104.68,7,45.3198,-65.6802,20,0,0,100,90,-108.68
8,5.7,16,3,-97.4764,13,-109.476,11,-107.476,8,42.5236,-66.4764,25,0,0,100,270,-109.476
9,5.8,17,3,-120,8,-132,9,-130,3,20,-89,30,0,0,100,90,-132
10,5.9,18,2,-105.72,14,-119.72,11,-115.72,9,34.28,-76.72,20,0,0,100,90,-119.72
1,6,9,2,-43,26,-55,15,-53,21,97,-12,20,0.4,0,100,90,-55
2,6.1,10,3,-90.6034,7,-103.603,9,-100.603,2,49.3966,-60.6034,25,0.392,0,100,90,-103.603
3,6.2,11,3,-91.3154,9,-103.315,9,-101.315,4,48.6846,-60.3154,30,0.4,0,100,270,-103.315
4,6.3,12,2,-85.5241,10,-100.524,9,-95.5241,5,54.4759,-57.5241,20,0.392,0,100,90,-100.524
5,6.4,13,3,-97.5329,12,-113.533,11,-107.533,7,42.4671,-70.5329,25,0.4,0,100,270,-113.533
6,6.5,14,3,-117.584,7,-134.584,9,-127.584,2,22.416,-91.584,30,0.4,0,100,270,-134.584
7,6.6,15,2,-98.0601,7,-110.06,9,-108.06,2,41.9399,-67.0601,20,0.232,0,100,90,-110.06
8,6.7,16,3,-90.3205,5,-103.321,7,-100.321,0,49.6795,-60.3205,25,0.072,0,100,270,-103.321
9,6.8,17,3,-120,10,-133,9,-130,5,20,-90,30,0,0,100,270,-133
10,6.9,18,2,-102.223,14,-118.223,11,-112.223,9,37.7767,-75.2233,20,0,0,100,90,-118.223
1,7,9,2,-90.536,6,-105.536,9,-100.536,1,49.464,-62.536,20,0.392,0,100,90,-105.536
2,7.1,10,3,-99.8148,6,-114.815,9,-109.815,1,40.1852,-71.8148,25,0.4,0,100,90,-114.815
3,7.2,11,3,-90.191,14,-107.191,11,-100.191,9,49.809,-64.191,30,0.4,0,100,270,-107.191
4,7.3,12,2,-96.1965,11,-111.197,11,-106.197,6,43.8035,-68.1965,20,0.4,0,100,90,-111.197
5,7.4,13,3,-81.958,16,-96.958,13,-91.958,11,58.042,-53.958,25,0.4,0,100,270,-96.958
6,7.5,14,3,-109.55,8,-125.55,9,-119.55,3,30.4501,-82.5499,30,0.376,0,100,270,-125.55
7,7.6,15,2,-101.007,13,-115.007,11,-111.007,8,38.9934,-72.0066,20,0.4,0,100,90,-115.007
8,7.7,16,3,-79.4608,24,-93.4608,15,-89.4608,19,60.5392,-50.4608,25,0.408,0,100,270,-93.4608
9,7.8,17,3,-120,5,-137,7,-130,0,20,-94,30,0.232,0,100,270,-137
10,7.9,18,3,-97.0601,10,-113.06,9,-107.06,5,42.9399,-70.0601,20,0.144,0,100,90,-113.06
1,8,9,2,-101.072,11,-116.072,11,-111.072,6,38.9279,-73.0721,20,0.4,0,100,90,-116.072
2,8.1,10,3,-109.187,10,-123.187,9,-119.187,5,30.8133,-80.1867,25,0.408,0,100,90,-123.187
3,8.2,11,3,-95.515,6,-110.515,9,-105.515,1,44.485,-67.515,30,0.4,0,100,270,-110.515
4,8.3,12,2,-103.684,13,-120.684,11,-113.684,8,36.316,-77.684,20,0.4,0,100,90,-120.684
5,8.4,13,3,-81.268,11,-95.268,11,-91.268,6,58.732,-52.268,25,0.4,0,100,270,-95.268
6,8.5,14,3,-109.139,5,-122.139,7,-119.139,0,30.8605,-79.1395,30,0.392,0,100,270,-122.139
7,8.6,15,2,-109.733,9,-125.733,9,-119.733,4,30.2674,-82.7326,20,0.392,0,100,90,-125.733
8,8.7,16,3,-89.6964,16,-106.696,13,-99.6964,11,50.3036,-63.6964,25,0.392,0,100,270,-106.696
9,8.8,17,3,-119.813,12,-134.813,11,-129.813,7,20.1867,-91.8133,30,0.368,0,100,270,-134.813
10,8.9,18,3,-92.6802,11,-107.68,11,-102.68,6,47.3198,-64.6802,20,0.4,0,100,90,-107.68
1,9,9,2,-105.235,12,-122.235,11,-115.235,7,34.7647,-79.2353,20,0.4,0,100,90,-122.235
2,9.1,10,3,-103.251,12,-120.251,11,-113.251,7,36.7489,-77.2511,25,0.4,0,100,270,-120.251
3,9.2,11,3,-105.352,13,-118.352,11,-115.352,8,34.6483,-75.3517,30,0.4,0,100,270,-118.352
4,9.3,12,2,-107.707,12,-124.707,11,-117.707,7,32.2926,-81.7074,20,0.4,0,100,90,-124.707
5,9.4,13,3,-94.6388,13,-107.639,11,-104.639,8,45.3612,-64.6388,25,0.408,0,100,270,-107.639
6,9.5,14,3,-93.1899,6,-108.19,9,-103.19,1,46.8101,-65.1899,30,0.4,0,100,270,-108.19
7,9.6,15,3,-92.2924,11,-107.292,11,-102.292,6,47.7076,-64.2924,20,0.368,0,100,90,-107.292
8,9.7,16,3,-100.014,8,-113.014,9,-110.014,3,39.9861,-70.0139,25,0.408,0,100,270,-113.014
9,9.8,17,3,-116.836,11,-130.836,11,-126.836,6,23.1635,-87.8365,30,0.392,0,100,270,-130.836
10,9.9,18,3,-82.7713,18,-98.7713,13,-92.7713,13,57.2287,-55.7713,20,0.408,0,100,90,-98.7713
1,10,9,2,-103.608,14,-115.608,11,-113.608,9,36.3919,-72.6081,20,0.4,0,100,90,-115.608
2,10.1,10,3,-98.4764,11,-115.476,11,-108.476,6,41.5236,-72.4764,25,0.4,0,100,270,-115.476
3,10.2,11,3,-110.702,5,-125.702,7,-120.702,0,29.2976,-82.7024,30,0.384,0,100,270,-125.702
