time_sec,ue_id,from_cell,to_cell,event,executed_ok
2.2606,10,4,3,START,0
2.26227,10,4,3,SUCCESS,1
2.3045,8,5,6,START,0
2.30627,8,5,6,SUCCESS,1
2.50475,4,3,4,START,0
2.50475,7,4,2,START,0
2.50652,4,3,4,SUCCESS,1
2.50652,7,4,2,SUCCESS,1
2.759,6,3,8,START,0
2.76077,6,3,8,SUCCESS,1
2.805,15,6,7,START,0
2.80677,15,6,7,SUCCESS,1
2.853,5,3,4,START,0
2.85477,5,3,4,SUCCESS,1
2.90523,3,2,6,START,0
2.90702,3,2,6,SUCCESS,1
2.95473,11,5,2,START,0
2.95652,11,5,2,SUCCESS,1
3.15698,9,4,2,START,0
3.15877,9,4,2,SUCCESS,1
3.75748,1,5,6,START,0
3.75927,1,5,6,SUCCESS,1
4.104,20,8,2,START,0
4.10577,20,8,2,SUCCESS,1
4.356,2,2,7,START,0
4.35777,2,2,7,SUCCESS,1
4.36498,16,6,7,START,0
4.36677,16,6,7,SUCCESS,1
5.1076,18,7,2,START,0
5.10927,18,7,2,SUCCESS,1
5.20773,14,6,5,START,0
5.20952,14,6,5,SUCCESS,1
5.45248,19,7,6,START,0
5.45427,19,7,6,SUCCESS,1
5.706,12,5,4,START,0
5.70777,12,5,4,SUCCESS,1
7.00998,17,7,8,START,0
7.01177,17,7,8,SUCCESS,1
7.06498,13,5,6,START,0
7.06677,13,5,6,SUCCESS,1
7.81073,15,7,8,START,0
7.81252,15,7,8,SUCCESS,1
7.955,11,2,5,START,0
7.95677,11,2,5,SUCCESS,1
7.96298,5,4,3,START,0
7.96477,5,4,3,SUCCESS,1
8.20123,9,2,6,START,0
8.20302,9,2,6,SUCCESS,1
8.25398,4,4,3,START,0
8.25577,4,4,3,SUCCESS,1
8.75923,7,2,8,START,0
8.75973,1,6,5,START,0
8.76102,7,2,8,SUCCESS,1
8.76152,1,6,5,SUCCESS,1
8.90175,6,8,7,START,0
8.90352,6,8,7,SUCCESS,1
9.05698,20,2,8,START,0
9.05877,20,2,8,SUCCESS,1
9.71275,8,6,5,START,0
9.71452,8,6,5,SUCCESS,1
9.85775,2,7,6,START,0
9.85952,2,7,6,SUCCESS,1
10.0102,10,3,2,START,0
10.012,10,3,2,SUCCESS,1
10.2573,10,2,8,START,0
10.259,10,2,8,SUCCESS,1
10.3093,16,7,8,START,0
10.311,16,7,8,SUCCESS,1
10.409,19,6,5,START,0
10.4108,19,6,5,SUCCESS,1
10.8557,3,6,5,START,0
10.8575,3,6,5,SUCCESS,1
11.4145,18,2,7,START,0
11.4163,18,2,7,SUCCESS,1
12.158,17,8,7,START,0
12.1598,17,8,7,SUCCESS,1
12.6052,12,4,2,START,0
12.6068,12,4,2,SUCCESS,1
13.3122,4,3,8,START,0
13.314,4,3,8,SUCCESS,1
13.317,9,6,7,START,0
13.3188,9,6,7,SUCCESS,1
13.8572,5,3,2,START,0
13.8588,5,3,2,SUCCESS,1
14.007,6,7,8,START,0
14.0088,6,7,8,SUCCESS,1
14.0572,7,8,7,START,0
14.059,7,8,7,SUCCESS,1
14.5117,11,5,4,START,0
14.5135,11,5,4,SUCCESS,1
14.7555,8,5,6,START,0
14.7573,8,5,6,SUCCESS,1
15.352,10,8,6,START,0
15.3538,10,8,6,SUCCESS,1
15.3595,16,8,7,START,0
15.3613,16,8,7,SUCCESS,1
16.4129,18,7,8,START,0
16.4145,18,7,8,SUCCESS,1
16.454,19,5,6,START,0
16.4558,19,5,6,SUCCESS,1
17.1054,15,8,2,START,0
17.107,15,8,2,SUCCESS,1
17.6047,12,2,3,START,0
17.6065,12,2,3,SUCCESS,1
17.7527,3,5,2,START,0
17.7545,3,5,2,SUCCESS,1
17.7615,20,8,7,START,0
17.7633,20,8,7,SUCCESS,1
18.2603,1,5,6,START,0
18.262,1,5,6,SUCCESS,1
18.309,9,7,6,START,0
18.3108,9,7,6,SUCCESS,1
19.219,6,8,3,START,0
19.2208,6,8,3,SUCCESS,1
19.509,11,4,8,START,0
19.5108,11,4,8,SUCCESS,1
19.5173,7,7,2,START,0
19.519,7,7,2,SUCCESS,1
19.8637,8,6,4,START,0
19.8655,8,6,4,SUCCESS,1
20.3528,10,6,4,START,0
20.3545,10,6,4,SUCCESS,1
20.917,17,7,8,START,0
20.9188,17,7,8,SUCCESS,1
21.5134,19,6,2,START,0
21.515,19,6,2,SUCCESS,1
21.752,14,5,4,START,0
21.7538,14,5,4,SUCCESS,1
21.8075,16,7,8,START,0
21.8093,16,7,8,SUCCESS,1
22.0518,18,8,2,START,0
22.0535,18,8,2,SUCCESS,1
22.155,15,2,5,START,0
22.1568,15,2,5,SUCCESS,1
22.657,12,3,2,START,0
22.6588,12,3,2,SUCCESS,1
23.254,1,6,5,START,0
23.2558,1,6,5,SUCCESS,1
23.4012,9,6,7,START,0
23.403,9,6,7,SUCCESS,1
23.905,4,8,3,START,0
23.9068,4,8,3,SUCCESS,1
24.207,6,3,8,START,0
24.2088,6,3,8,SUCCESS,1
24.861,11,8,3,START,0
24.8628,11,8,3,SUCCESS,1
24.9632,7,2,8,START,0
24.9643,8,4,5,START,0
24.9648,7,2,8,SUCCESS,1
24.966,8,4,5,SUCCESS,1
25.455,13,6,7,START,0
25.4568,13,6,7,SUCCESS,1
25.9057,17,8,7,START,0
25.9075,17,8,7,SUCCESS,1
26.3667,5,2,7,START,0
26.3685,5,2,7,SUCCESS,1
26.512,19,2,7,START,0
26.5138,19,2,7,SUCCESS,1
27.057,10,4,3,START,0
27.0588,10,4,3,SUCCESS,1
27.1115,18,2,7,START,0
27.1133,18,2,7,SUCCESS,1
27.256,15,5,6,START,0
27.2578,15,5,6,SUCCESS,1
27.7102,12,2,8,START,0
27.712,12,2,8,SUCCESS,1
27.7555,14,4,5,START,0
27.7573,14,4,5,SUCCESS,1
28.4537,9,7,8,START,0
28.4555,9,7,8,SUCCESS,1
28.9087,4,3,2,START,0
28.9105,4,3,2,SUCCESS,1
29.2735,6,8,3,START,0
29.2753,6,8,3,SUCCESS,1
29.865,11,3,5,START,0
29.8668,11,3,5,SUCCESS,1
30.005,8,5,2,START,0
30.0068,8,5,2,SUCCESS,1
30.1042,3,2,4,START,0
30.106,3,2,4,SUCCESS,1
30.36,1,5,6,START,0
30.3618,1,5,6,SUCCESS,1
30.8177,16,8,3,START,0
30.8195,16,8,3,SUCCESS,1
31.3138,5,7,2,START,0
31.3155,5,7,2,SUCCESS,1
31.5678,19,7,6,START,0
31.5695,19,7,6,SUCCESS,1
32.0528,10,3,8,START,0
32.0545,10,3,8,SUCCESS,1
32.2632,13,7,6,START,0
32.265,13,7,6,SUCCESS,1
32.3072,15,6,7,START,0
32.309,15,6,7,SUCCESS,1
32.7638,12,8,2,START,0
32.7655,12,8,2,SUCCESS,1
32.8557,18,7,2,START,0
32.8575,18,7,2,SUCCESS,1
34.0062,4,2,5,START,0
34.008,4,2,5,SUCCESS,1
35.1075,8,2,3,START,0
35.1093,8,2,3,SUCCESS,1
35.1527,11,5,6,START,0
35.1545,11,5,6,SUCCESS,1
35.2065,3,4,2,START,0
35.2083,3,4,2,SUCCESS,1
35.5602,7,8,3,START,0
35.562,7,8,3,SUCCESS,1
35.958,6,3,8,START,0
35.9598,6,3,8,SUCCESS,1
36.3597,16,3,8,START,0
36.3615,16,3,8,SUCCESS,1
36.6592,19,6,7,START,0
36.661,19,6,7,SUCCESS,1
36.8068,5,2,3,START,0
36.8085,5,2,3,SUCCESS,1
37.795,15,7,3,START,0
37.7955,10,8,7,START,0
37.7968,15,7,3,SUCCESS,1
37.7973,10,8,7,SUCCESS,1
37.853,12,2,6,START,0
37.8548,12,2,6,SUCCESS,1
38.3042,14,5,2,START,0
38.306,14,5,2,SUCCESS,1
38.6537,13,6,7,START,0
38.6555,13,6,7,SUCCESS,1
38.81,1,6,5,START,0
38.8118,1,6,5,SUCCESS,1
39.16,2,6,2,START,0
