time_sec,ue_id,from_cell,to_cell,event,executed_ok
1.63898,10,4,3,START,0
1.64077,10,4,3,SUCCESS,1
2.49348,4,3,4,START,0
2.49527,4,3,4,SUCCESS,1
2.69623,3,2,6,START,0
2.69802,3,2,6,SUCCESS,1
2.789,15,6,7,START,0
2.79077,15,6,7,SUCCESS,1
2.84248,6,3,8,START,0
2.84427,6,3,8,SUCCESS,1
2.89275,5,3,4,START,0
2.89452,5,3,4,SUCCESS,1
3.09298,11,5,2,START,0
3.09477,11,5,2,SUCCESS,1
3.19048,9,4,2,START,0
3.19227,9,4,2,SUCCESS,1
3.24398,7,4,2,START,0
3.24577,7,4,2,SUCCESS,1
3.79198,1,5,6,START,0
3.79377,1,5,6,SUCCESS,1
3.89023,20,8,2,START,0
3.89202,20,8,2,SUCCESS,1
4.34223,16,6,7,START,0
4.34402,16,6,7,SUCCESS,1
4.54173,2,2,7,START,0
4.54352,2,2,7,SUCCESS,1
4.9405,14,6,5,START,0
4.94227,14,6,5,SUCCESS,1
5.44082,19,7,6,START,0
5.44252,19,7,6,SUCCESS,1
5.639,12,5,4,START,0
5.64077,12,5,4,SUCCESS,1
5.73773,8,5,6,START,0
5.73952,8,5,6,SUCCESS,1
6.18998,13,5,6,START,0
6.19177,13,5,6,SUCCESS,1
7.23898,18,7,2,START,0
7.24077,18,7,2,SUCCESS,1
7.73948,4,4,3,START,0
7.74127,4,4,3,SUCCESS,1
7.78898,3,6,2,START,0
7.79077,3,6,2,SUCCESS,1
7.79373,15,7,8,START,0
7.79552,15,7,8,SUCCESS,1
8.04077,11,2,5,START,0
8.04252,11,2,5,SUCCESS,1
8.13825,9,2,6,START,0
8.14002,9,2,6,SUCCESS,1
8.14275,5,4,3,START,0
8.14452,5,4,3,SUCCESS,1
8.69073,7,2,8,START,0
8.69252,7,2,8,SUCCESS,1
8.69623,6,8,7,START,0
8.69802,6,8,7,SUCCESS,1
8.7535,1,6,5,START,0
8.75527,1,6,5,SUCCESS,1
8.88948,20,2,8,START,0
8.89127,20,2,8,SUCCESS,1
9.23898,17,7,2,START,0
9.24077,17,7,2,SUCCESS,1
9.54077,2,7,6,START,0
9.54252,2,7,6,SUCCESS,1
10.1413,10,3,2,START,0
10.143,10,3,2,SUCCESS,1
10.59,19,6,5,START,0
10.5918,19,6,5,SUCCESS,1
10.7032,8,6,5,START,0
10.705,8,6,5,SUCCESS,1
10.8417,16,7,8,START,0
10.8435,16,7,8,SUCCESS,1
11.2915,12,4,2,START,0
11.2933,12,4,2,SUCCESS,1
12.0392,10,2,6,START,0
12.041,10,2,6,SUCCESS,1
12.7528,4,3,8,START,0
12.7545,4,3,8,SUCCESS,1
12.9412,3,2,5,START,0
12.9428,3,2,5,SUCCESS,1
13.139,5,3,2,START,0
