uuid,sim,time_sec,ue_id,from_cell,to_cell,is_correct
ecc71bd2-e6a2-422a-af73-da53d93c8720,sim015,1.66427,10,4,3,True
3a718bca-0888-434e-b3c5-6ebd71edfa9d,sim015,2.26677,8,5,6,True
e8e6fabc-efdf-49be-923f-231d79c1e5c7,sim015,2.46852,7,4,2,True
28951fe4-bd1b-4b88-a4c1-a0a7c7a056e7,sim015,2.52302,5,3,4,True
e3a5f739-deff-4c52-a82a-06381b01f8b3,sim015,2.56977,4,3,4,True
95512202-2bfa-499c-9d34-ca7abfb1f17e,sim015,2.71377,6,3,8,True
b99d3b67-bd2c-4ee9-a802-0be3b2745ca0,sim015,2.77002,3,2,5,True
8b0be73e-bd3e-4ac9-b778-622b0e6827d8,sim015,2.81502,15,6,7,True
bf9d72ca-6f0f-489e-9a40-f82565abd184,sim015,3.01477,11,5,2,False
68df07a8-3b21-4473-96aa-850f895a7aed,sim015,3.11152,9,4,2,True
1b364c86-de1b-49b5-92ca-217b304859d8,sim015,3.21177,20,8,2,False
c2942e06-cf4e-4e4d-b6f4-f4720af6a4a2,sim015,3.46677,2,2,7,True
dbded14c-7316-432b-986b-17897676fc46,sim015,4.06277,1,5,6,True
37726901-22fe-4923-b87d-1281551a43af,sim015,4.21427,14,6,5,True
726406df-d80e-486d-ab9c-fb272b5ea471,sim015,4.36677,16,6,7,True
80a7c130-61ea-4982-9d83-5a629f56d6ec,sim015,5.11652,19,7,6,True
c2fd0852-5e1d-4f7c-a38b-8e1b7d2d051a,sim015,5.81277,18,7,2,True
e4a914bd-6c2a-4e8d-908d-3843bf9c492f,sim015,6.11627,17,7,8,False
9050f610-cd01-4e48-961f-cba2b82bd36d,sim015,6.41202,13,5,6,True
5b2b4600-8364-4aba-bded-ea5a6fd04eeb,sim015,6.66577,12,5,4,True
87644c9f-8407-4be4-9357-46a6b056ad45,sim015,7.55452,5,4,3,True
718cc368-cc78-4a7b-a12a-bbdd66318440,sim015,7.76577,6,8,7,True
f19c5cbe-c707-41f0-b1e0-d48a0ea49b0d,sim015,7.80677,15,7,8,True
936205e7-5611-487d-acc3-612b94c4ad44,sim015,7.80677,3,5,6,True
8c530e1c-6465-4d80-9319-fa58637c9331,sim015,7.86277,4,4,3,True
f6eb5bcc-a6e7-4c15-b2e6-95feaa1d1a49,sim015,8.01302,11,2,5,True
a5fbde2c-708d-410d-8cc1-715b90b23828,sim015,8.15627,20,2,8,True
5e911d9c-d8ea-4dd0-b75d-130edc02b629,sim015,8.15627,9,2,6,True
0569f171-1f09-4dda-8291-13f35f2b6b7e,sim015,8.16277,15,8,3,True
ebe349ac-229e-433f-a1f4-855287ae8553,sim015,8.36377,7,2,8,True
f9349bef-2ab1-4a6c-8bba-e8b49fe2272a,sim015,9.01402,2,7,6,True
a5b86516-9218-42a1-aca5-4ee412f8b90b,sim015,9.15802,1,6,5,True
36d16530-1dfe-4c36-8750-e890d61db31d,sim015,9.41427,14,5,6,True
c327dddc-5274-4e00-afdb-433cf6908a8f,sim015,9.71452,8,6,5,True
963c8815-eb75-40b2-ab88-554aab320145,sim015,10.0628,10,3,8,True
5c4cba7e-a595-4928-b294-cf79d38c71a8,sim015,10.3153,16,7,8,True
40418f49-6de0-4014-ba5f-3ffe6b43e29b,sim015,10.8688,18,2,7,True
afee9ded-82ab-4237-95a6-9d74a17feca5,sim015,11.016,3,6,2,True
eebe938e-aa47-4369-9dd8-1976555effba,sim015,11.107,17,8,7,True
d0bc9399-069e-4bc2-b2b3-fe5a74544c51,sim015,11.114,9,6,7,True
caa31586-4c82-4a60-a47a-06040f747d4d,sim015,11.6695,19,6,5,True
1886336c-3464-480c-8f29-59ceb509496b,sim015,12.6155,12,4,2,True
daf917c2-6286-45be-a06d-2853a83c9b91,sim015,12.9043,4,3,8,True
3a7e97d1-4a6f-41c6-aaf6-0b38ff56940f,sim015,12.9043,6,7,8,True
7a11e0e3-b749-4281-835f-b02a1d387fd3,sim015,13.018,5,3,2,True
d069c046-7eb3-4b54-aa24-d3dfc5c765e3,sim015,13.2565,15,3,8,True
65c8a254-8bf5-4790-8c62-957acd8532e9,sim015,13.567,7,8,7,True
13a88cce-f1b3-404a-b410-fb2c88b77c7d,sim015,14.312,2,6,7,True
e0516ec2-07ca-4967-a735-2c2edbb5e640,sim015,14.4565,14,6,5,True
22c11fb3-d153-4158-8d15-adfa40ef17f1,sim015,14.5638,11,5,2,True
0a447cd3-5fd3-4e3a-979c-f4d098152cd2,sim015,14.8065,8,5,6,True
71e54c4a-386f-4bcc-aa66-11e7d7d4997e,sim015,15.0588,10,8,6,True
7c4653ec-0a59-4e6d-8b82-3b4a4be31012,sim015,15.4068,16,8,7,True
3bf6bb45-2588-4a7e-88df-473ced4f29d1,sim015,15.8618,18,7,8,True
e741d224-11b7-41fe-819f-a628bb05fe18,sim015,16.0093,3,2,5,True
0d013d08-1dd7-43cc-9ff8-81f686c153f6,sim015,16.8155,20,8,7,True
3b514f87-26ad-4e15-927d-22f73296efbc,sim015,17.014,1,5,6,False
0c97de54-376a-4860-954a-b87b0d7393ce,sim015,17.2205,8,6,2,True
75af1c09-165b-4d01-a8a1-a7ae626dcd03,sim015,17.2645,15,8,2,True
2a7f4fa0-0d7d-4c11-ad50-1612ae894656,sim015,17.6628,12,2,8,True
46ae0e3b-f80a-441d-ac25-8b0d58c146f2,sim015,17.9675,19,5,6,True
58e77ad9-ce15-48cf-a37b-4782e05d3ad9,sim015,18.163,5,2,4,True
e4f28f0c-05d8-4acc-aec8-5ae6a2b7cb49,sim015,18.6673,7,7,8,True
8dd82024-7a68-474c-82de-78ea741d18ba,sim015,19.1623,9,7,6,True
73eeae20-94e4-4a8e-b2b1-6dd93a330ff4,sim015,19.3615,2,7,6,True
ef8ae497-c239-4f9b-a59d-c17a8c5f4830,sim015,19.6095,11,2,8,True
3f82ae11-3514-4765-9e06-57ea194d5f41,sim015,19.9693,6,8,3,True
ff3cc956-61a1-4b40-8f0d-0a8a77e61d66,sim015,20.068,14,5,4,True
2829c09f-0557-40a9-8010-adf1a2871f80,sim015,20.068,10,6,5,True
6329c26e-f7c2-4b2a-8153-6e40f3df6da5,sim015,20.914,17,7,8,True
0d422513-400d-4824-b711-506d962b8c63,sim015,21.0153,3,5,2,True
94e4666b-de7c-4bac-824a-3d58c3592f12,sim015,21.562,18,8,7,True
614ed8d5-c415-4a3e-a62b-56ef2e549e5e,sim015,21.9135,16,7,8,True
06ccc480-5c08-420c-b28f-0e6ff91f682b,sim015,21.9135,20,7,8,False
63380d97-f1fd-4c52-991c-f8115a8b2463,sim015,22.0073,1,6,5,True
32d8cd96-b56a-46be-a99f-9f8c69196ec6,sim015,22.215,8,2,4,True
6b7f2ed6-df06-41a2-b4e0-524df5d8bc62,sim015,22.2153,15,2,5,True
1ee465fe-aab3-4f4a-878b-36c42dada002,sim015,22.706,12,8,7,True
5609815f-0c8b-43a4-be88-2e9b92e33600,sim015,22.9555,19,6,7,True
1efd7165-e775-4d86-a1f3-a60e78e33041,sim015,23.2043,5,4,2,True
108600fe-b033-40cf-9142-796cd2a60127,sim015,23.2195,11,8,3,True
47501cc9-031f-4f31-82f4-ca96c7934647,sim015,23.762,4,8,3,True
e107cb6c-5856-47ac-bb5a-5f1d64adf248,sim015,24.164,9,6,7,True
e0307147-1baf-4115-acd4-9ddf7f74fe8d,sim015,24.2643,7,8,7,True
4a04600b-beb4-49d7-aee6-869eb4a67294,sim015,25.1163,10,5,4,True
2aba1d96-5229-4e1a-9457-1c7e1d38e2e7,sim015,25.2628,6,3,8,True
da4cf03e-958a-4cc7-8063-55c2b2becd2c,sim015,25.5143,14,4,5,True
15396a96-62d6-4dbd-9db2-f3498d9e255d,sim015,25.9628,17,8,7,True
93d6da31-62a3-4e52-a029-7e935e48ace4,sim015,26.1635,13,6,7,True
00a28dc8-2688-48b2-87e9-6c42705bc2fd,sim015,26.2693,15,5,6,True
c3863cb5-916b-4749-8480-4240c27331af,sim015,26.913,18,7,2,True
bb0e299b-e60c-4c5e-aae9-7533839d5b88,sim015,26.9133,20,8,7,True
6d52c84e-33c6-46e4-88d2-70789afb78d5,sim015,27.3078,8,4,5,True
ff5b60a6-bfff-4d14-8393-1df9cf2c2e14,sim015,27.7665,12,7,2,True
5dfa282a-58a1-400e-9372-c16172ad924d,sim015,28.2543,11,3,2,True
1167d206-5eb7-4e66-be32-0be214febf2f,sim015,28.2543,5,2,7,True
c5857143-ab74-43c0-8f00-e69694b915fc,sim015,28.86,4,3,2,True
44f2ae3e-ba25-416c-83e4-de19becc7a15,sim015,29.1148,8,5,2,True
41d96780-a7a1-49d0-8758-f6ccd8af04e6,sim015,29.2115,9,7,8,True
da876eb4-48ff-46b3-98eb-74c6f9095e95,sim015,29.312,7,7,8,True
530735ff-7587-498a-8276-6857a9521a8a,sim015,29.7185,1,5,6,True
2f2c87df-09ac-4935-8122-abb3539b9469,sim015,30.062,19,7,6,True
6f5462f9-d3d9-4ff9-8232-23c6660ef290,sim015,30.1623,10,4,3,True
cc2acc04-56d5-4ee4-94a5-24e371e5b0e6,sim015,30.3108,6,8,3,True
747efd94-841c-41e0-999c-802a77564e9e,sim015,30.3183,3,2,5,True
763522e8-aec7-4723-8edd-866c544c4ce1,sim015,31.261,13,7,6,True
bb271348-e9d7-4018-ad6c-65bc2289f07e,sim015,31.261,15,6,7,True
d09a1304-f85d-42ab-a1ad-d6d6f88be5a8,sim015,31.962,18,2,7,True
07ae3df0-1084-43da-ae31-c815e4f38600,sim015,33.3115,11,2,5,True
2f45d2c2-6522-455a-a234-3961b81990d0,sim015,33.313,5,7,2,True
81c2a9cc-e343-4340-a137-f3818d073a77,sim015,33.9158,4,2,5,True
bc77d7a0-a5fd-4990-b5b3-818cd4de8205,sim015,34.1615,8,2,3,True
69269ab6-97e6-4860-84c4-197eb3974134,sim015,34.7148,7,8,3,True
c0e253c3-4373-4d7e-bf24-a68b07d5e3f6,sim015,35.1163,19,6,7,True
caefb72b-f29b-4703-9460-f0d1f4539a4d,sim015,35.2558,10,3,8,True
9bb7606d-c13d-45f7-8537-ce223b860c01,sim015,35.367,3,5,2,True
b126a78c-f281-4113-8d4e-fb2866cbbe9e,sim015,36.0668,16,8,3,True
f998e303-5c5a-4be1-9c8d-d1bb801e916f,sim015,36.2128,12,2,6,True
0dc00229-a665-41ea-bee5-d179251b65ca,sim015,36.3608,15,7,8,True
3a75349d-1f5d-4b98-9ba0-49ad9806accf,sim015,36.3675,6,3,8,True
8db95219-955c-4dec-9de8-37f81ff3e4b2,sim015,37.0678,18,7,2,True
4783c638-b280-433a-81ce-5a6a5e0ca5cf,sim015,37.1688,13,6,7,True
0bebbafe-c06f-460e-b3eb-6a7707a7eef1,sim015,37.4135,10,8,7,True
5eaa3322-92cf-401f-b15d-d280e202e325,sim015,38.0155,14,5,2,False
ceb417bf-41a3-4fd2-9f1d-9c6f3e3e7bed,sim015,38.4108,5,2,3,True
b66c9121-0415-45ba-9efb-a62b0e0ae84c,sim015,38.5675,2,6,2,True
b39c8e8d-9639-47be-8f51-c040cb8e123f,sim015,39.2545,8,3,2,True
aa0b5e77-8ab0-4c4e-bf01-508ddebd1633,sim015,39.462,1,6,5,True
7e70497a-8aec-4dc4-bf49-b0717dfebdce,sim015,39.9163,4,5,4,True
dc98cbdb-c74f-4571-bc95-f2b920224d56,sim015,39.9163,7,3,8,True
a526a402-3fa4-4c07-bb57-b1dc18b5036c,sim015,40.2115,19,7,8,True
bf5e8e33-ccdc-4970-8faf-3745ae8dec78,sim015,40.8168,3,2,4,True
92ffaee5-1a78-4a2a-9b23-84bc76492a46,sim015,41.3185,12,6,2,True
e540f79f-7b04-46ad-a670-dba70508c054,sim015,41.4548,15,8,4,True
95404c39-e598-45f1-ad09-943d19877d5a,sim015,41.6683,9,8,2,True
402f1b46-f5dc-49f9-a944-c99df0c4dcfb,sim015,43.0138,14,2,5,True
0089358c-2827-48a8-a729-40ca2c56cc56,sim015,43.0138,6,8,7,True
73297f8d-5380-45a9-ac22-07b22e00e453,sim015,43.12,10,7,6,True
f1099eae-9576-455a-afdb-c827c8c190a7,sim015,43.7675,11,5,2,True
5cf9519e-cdc9-4047-a5b8-765da07f161b,sim015,44.2548,8,2,6,True
860909c5-da27-42c8-bea3-56764420d429,sim015,45.3148,19,8,3,True
7bb858dc-d651-4ae6-baef-066890f9262b,sim015,45.818,17,7,8,True
fa15576f-5320-48dc-b0fc-3bab5900d251,sim015,45.9175,3,4,2,True
