time_sec,ue_id,from_cell,to_cell,event,executed_ok
1.66248,10,4,3,START,0
1.66427,10,4,3,SUCCESS,1
2.26498,8,5,6,START,0
2.26677,8,5,6,SUCCESS,1
2.46675,7,4,2,START,0
2.46852,7,4,2,SUCCESS,1
2.52123,5,3,4,START,0
2.52302,5,3,4,SUCCESS,1
2.568,4,3,4,START,0
2.56977,4,3,4,SUCCESS,1
2.712,6,3,8,START,0
2.71377,6,3,8,SUCCESS,1
2.76823,3,2,5,START,0
2.77002,3,2,5,SUCCESS,1
2.81323,15,6,7,START,0
2.81502,15,6,7,SUCCESS,1
3.013,11,5,2,START,0
3.01477,11,5,2,SUCCESS,1
3.10975,9,4,2,START,0
3.11152,9,4,2,SUCCESS,1
3.21,20,8,2,START,0
3.21177,20,8,2,SUCCESS,1
3.465,2,2,7,START,0
3.46677,2,2,7,SUCCESS,1
4.061,1,5,6,START,0
4.06277,1,5,6,SUCCESS,1
4.2125,14,6,5,START,0
4.21427,14,6,5,SUCCESS,1
4.365,16,6,7,START,0
4.36677,16,6,7,SUCCESS,1
5.11475,19,7,6,START,0
5.11652,19,7,6,SUCCESS,1
5.811,18,7,2,START,0
5.81277,18,7,2,SUCCESS,1
6.11448,17,7,8,START,0
6.11627,17,7,8,SUCCESS,1
6.41023,13,5,6,START,0
6.41202,13,5,6,SUCCESS,1
6.66398,12,5,4,START,0
6.66577,12,5,4,SUCCESS,1
7.55273,5,4,3,START,0
7.55452,5,4,3,SUCCESS,1
7.76398,6,8,7,START,0
7.76577,6,8,7,SUCCESS,1
7.805,3,5,6,START,0
7.805,15,7,8,START,0
7.80677,15,7,8,SUCCESS,1
7.80677,3,5,6,SUCCESS,1
7.861,4,4,3,START,0
7.86277,4,4,3,SUCCESS,1
8.01123,11,2,5,START,0
8.01302,11,2,5,SUCCESS,1
8.15448,9,2,6,START,0
8.15448,20,2,8,START,0
8.15627,20,2,8,SUCCESS,1
8.15627,9,2,6,SUCCESS,1
8.16121,15,8,3,START,0
8.16277,15,8,3,SUCCESS,1
8.36198,7,2,8,START,0
8.36377,7,2,8,SUCCESS,1
9.01225,2,7,6,START,0
9.01402,2,7,6,SUCCESS,1
9.15623,1,6,5,START,0
9.15802,1,6,5,SUCCESS,1
9.41248,14,5,6,START,0
9.41427,14,5,6,SUCCESS,1
9.71275,8,6,5,START,0
9.71452,8,6,5,SUCCESS,1
10.061,10,3,8,START,0
10.0628,10,3,8,SUCCESS,1
10.3135,16,7,8,START,0
10.3153,16,7,8,SUCCESS,1
10.867,18,2,7,START,0
10.8688,18,2,7,SUCCESS,1
11.0143,3,6,2,START,0
11.016,3,6,2,SUCCESS,1
11.1053,17,8,7,START,0
11.107,17,8,7,SUCCESS,1
11.1122,9,6,7,START,0
11.114,9,6,7,SUCCESS,1
11.6678,19,6,5,START,0
11.6695,19,6,5,SUCCESS,1
12.6138,12,4,2,START,0
12.6155,12,4,2,SUCCESS,1
12.9025,4,3,8,START,0
12.9025,6,7,8,START,0
12.9043,4,3,8,SUCCESS,1
12.9043,6,7,8,SUCCESS,1
13.0164,5,3,2,START,0
13.018,5,3,2,SUCCESS,1
13.2547,15,3,8,START,0
13.2565,15,3,8,SUCCESS,1
13.5652,7,8,7,START,0
13.567,7,8,7,SUCCESS,1
14.3102,2,6,7,START,0
14.312,2,6,7,SUCCESS,1
14.4547,14,6,5,START,0
14.4565,14,6,5,SUCCESS,1
14.562,11,5,2,START,0
14.5638,11,5,2,SUCCESS,1
14.8049,8,5,6,START,0
14.8065,8,5,6,SUCCESS,1
15.057,10,8,6,START,0
15.0588,10,8,6,SUCCESS,1
15.405,16,8,7,START,0
15.4068,16,8,7,SUCCESS,1
15.86,18,7,8,START,0
15.8618,18,7,8,SUCCESS,1
16.0075,3,2,5,START,0
16.0093,3,2,5,SUCCESS,1
16.8137,20,8,7,START,0
16.8155,20,8,7,SUCCESS,1
17.0123,1,5,6,START,0
17.014,1,5,6,SUCCESS,1
17.2187,8,6,2,START,0
17.2205,8,6,2,SUCCESS,1
17.2627,15,8,2,START,0
17.2645,15,8,2,SUCCESS,1
17.661,12,2,8,START,0
17.6628,12,2,8,SUCCESS,1
17.9658,19,5,6,START,0
17.9675,19,5,6,SUCCESS,1
18.1612,5,2,4,START,0
18.163,5,2,4,SUCCESS,1
18.6655,7,7,8,START,0
18.6673,7,7,8,SUCCESS,1
19.1605,9,7,6,START,0
19.1623,9,7,6,SUCCESS,1
19.3597,2,7,6,START,0
19.3615,2,7,6,SUCCESS,1
19.6078,11,2,8,START,0
19.6095,11,2,8,SUCCESS,1
19.9675,6,8,3,START,0
19.9693,6,8,3,SUCCESS,1
20.0662,14,5,4,START,0
20.0662,10,6,5,START,0
20.068,14,5,4,SUCCESS,1
20.068,10,6,5,SUCCESS,1
20.9123,17,7,8,START,0
20.914,17,7,8,SUCCESS,1
21.0135,3,5,2,START,0
21.0153,3,5,2,SUCCESS,1
21.5602,18,8,7,START,0
21.562,18,8,7,SUCCESS,1
21.9117,16,7,8,START,0
21.9117,20,7,8,START,0
21.9135,16,7,8,SUCCESS,1
21.9135,20,7,8,SUCCESS,1
22.0055,1,6,5,START,0
22.0073,1,6,5,SUCCESS,1
22.2133,8,2,4,START,0
22.2135,15,2,5,START,0
22.215,8,2,4,SUCCESS,1
22.2153,15,2,5,SUCCESS,1
22.7043,12,8,7,START,0
22.706,12,8,7,SUCCESS,1
22.9538,19,6,7,START,0
22.9555,19,6,7,SUCCESS,1
23.2025,5,4,2,START,0
23.2043,5,4,2,SUCCESS,1
23.2177,11,8,3,START,0
23.2195,11,8,3,SUCCESS,1
23.7602,4,8,3,START,0
23.762,4,8,3,SUCCESS,1
24.1623,9,6,7,START,0
24.164,9,6,7,SUCCESS,1
24.2625,7,8,7,START,0
24.2643,7,8,7,SUCCESS,1
25.1145,10,5,4,START,0
25.1163,10,5,4,SUCCESS,1
25.261,6,3,8,START,0
25.2628,6,3,8,SUCCESS,1
25.5125,14,4,5,START,0
25.5143,14,4,5,SUCCESS,1
25.961,17,8,7,START,0
25.9628,17,8,7,SUCCESS,1
26.1618,13,6,7,START,0
26.1635,13,6,7,SUCCESS,1
26.2675,15,5,6,START,0
26.2693,15,5,6,SUCCESS,1
26.9113,18,7,2,START,0
26.9115,20,8,7,START,0
26.913,18,7,2,SUCCESS,1
26.9133,20,8,7,SUCCESS,1
27.306,8,4,5,START,0
27.3078,8,4,5,SUCCESS,1
27.7648,12,7,2,START,0
27.7665,12,7,2,SUCCESS,1
28.2525,5,2,7,START,0
28.2525,11,3,2,START,0
28.2543,11,3,2,SUCCESS,1
