Time,IMSI,UE_HO_Number,Source_Cell,Target_Cell,Event
1.203,7,1,1,2,START
1.203,8,1,2,3,START
1.20721,7,1,2,2,COMPLETE
1.20721,8,1,3,3,COMPLETE
2.003,5,1,2,3,START
2.00721,5,1,3,3,COMPLETE
2.203,4,1,1,2,START
2.20721,4,1,2,2,COMPLETE
2.803,2,1,2,3,START
2.80721,2,1,3,3,COMPLETE
3.203,1,1,1,2,START
3.20721,1,1,2,2,COMPLETE
7.803,10,1,2,3,START
7.80721,10,1,3,3,COMPLETE
8.803,7,2,2,3,START
8.80721,7,2,3,3,COMPLETE
9.803,4,2,2,3,START
9.80721,4,2,3,3,COMPLETE
10.403,3,1,3,2,START
10.4072,3,1,2,2,COMPLETE
10.803,1,2,2,3,START
10.8072,1,2,3,3,COMPLETE
11.803,8,2,3,2,START
11.8072,8,2,2,2,COMPLETE
12.003,5,2,3,2,START
12.0072,5,2,2,2,COMPLETE
14.003,6,1,3,2,START
14.0072,6,1,2,2,COMPLETE
15.403,3,2,2,1,START
15.4072,3,2,1,1,COMPLETE
16.203,2,2,3,2,START
16.2072,2,2,2,2,COMPLETE
17.803,8,3,2,1,START
17.803,9,1,3,2,START
17.8072,8,3,1,1,COMPLETE
17.8072,9,1,2,2,COMPLETE
18.003,5,3,2,1,START
18.0072,5,3,1,1,COMPLETE
19.003,6,2,2,1,START
19.0072,6,2,1,1,COMPLETE
22.203,2,3,2,1,START
22.2072,2,3,1,1,COMPLETE
22.803,9,2,2,1,START
22.8072,9,2,1,1,COMPLETE
23.203,4,3,3,2,START
23.203,7,3,3,2,START
23.203,10,2,3,2,START
23.2072,4,3,2,2,COMPLETE
23.2072,7,3,2,2,COMPLETE
23.2072,10,2,2,2,COMPLETE
24.403,3,3,1,2,START
24.4072,3,3,2,2,COMPLETE
27.803,6,3,1,2,START
27.8072,6,3,2,2,COMPLETE
29.403,3,4,2,3,START
29.4072,3,4,3,3,COMPLETE
30.803,4,4,2,1,START
30.803,7,4,2,1,START
30.803,10,3,2,1,START
30.8072,4,4,1,1,COMPLETE
30.8072,7,4,1,1,COMPLETE
30.8072,10,3,1,1,COMPLETE
31.003,9,3,1,2,START
31.0072,9,3,2,2,COMPLETE
31.203,1,3,3,2,START
31.203,8,4,1,2,START
31.2072,1,3,2,2,COMPLETE
31.2072,8,4,2,2,COMPLETE
32.003,5,4,1,2,START
32.0072,5,4,2,2,COMPLETE
32.803,6,4,2,3,START
32.8072,6,4,3,3,COMPLETE
36.003,9,4,2,3,START
36.0072,9,4,3,3,COMPLETE
37.203,8,5,2,3,START
37.2072,8,5,3,3,COMPLETE
38.003,5,5,2,3,START
38.0072,5,5,3,3,COMPLETE
38.403,3,5,3,2,START
38.4072,3,5,2,2,COMPLETE
38.803,1,4,2,1,START
38.8072,1,4,1,1,COMPLETE
41.803,2,4,1,2,START
41.8072,2,4,2,2,COMPLETE
42.003,6,5,3,2,START
42.0072,6,5,2,2,COMPLETE
43.203,1,5,1,2,START
43.2072,1,5,2,2,COMPLETE
43.403,3,6,2,3,START
43.4072,3,6,3,3,COMPLETE
44.203,10,4,1,2,START
44.2072,10,4,2,2,COMPLETE
45.203,7,5,1,2,START
45.2072,7,5,2,2,COMPLETE
45.803,9,5,3,2,START
45.8072,9,5,2,2,COMPLETE
46.203,4,5,1,2,START
46.2072,4,5,2,2,COMPLETE
47.003,6,6,2,1,START
47.0072,6,6,1,1,COMPLETE
47.803,2,5,2,3,START
47.803,8,6,3,2,START
47.8072,8,6,2,2,COMPLETE
47.8072,2,5,3,3,COMPLETE
48.003,5,6,3,2,START
48.0072,5,6,2,2,COMPLETE
50.803,1,6,2,3,START
50.803,9,6,2,1,START
50.8072,9,6,1,1,COMPLETE
50.8072,1,6,3,3,COMPLETE
51.803,10,5,2,3,START
51.8072,10,5,3,3,COMPLETE
52.403,3,7,3,2,START
52.4072,3,7,2,2,COMPLETE
52.803,7,6,2,3,START
52.8072,7,6,3,3,COMPLETE
53.803,8,7,2,1,START
53.8072,8,7,1,1,COMPLETE
54.003,5,7,2,1,START
54.0072,5,7,1,1,COMPLETE
54.203,2,6,3,2,START
54.2072,2,6,2,2,COMPLETE
55.803,4,6,2,1,START
55.803,6,7,1,2,START
55.8072,4,6,1,1,COMPLETE
55.8072,6,7,2,2,COMPLETE
57.403,3,8,2,1,START
57.4072,3,8,1,1,COMPLETE
59.003,9,7,1,2,START
59.0072,9,7,2,2,COMPLETE
