SessionID,ElapsedTime,Node,CellID,Level,SNR,Qual,CQI,SecondCell_RSRP,SecondCell_SNR,NRxLev1,NQual1,Speed,DL_bitrate,UL_bitrate,BANDWIDTH,Bearing,RSRQ
1,3,9,1,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
2,3.1,10,3,-80,10,-10,10,-90,5,60,33,25,0,0,100,90,-10
3,3.2,11,3,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
4,3.3,12,2,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
5,3.4,13,3,-80,10,-10,10,-90,5,60,33,25,0,0,100,90,-10
6,3.5,14,3,-80,10,-10,10,-90,5,60,33,30,0,0,100,90,-10
7,3.6,15,2,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
8,3.7,16,3,-80,10,-10,10,-90,5,60,33,25,0,0,100,90,-10
9,3.8,17,3,-80,10,-10,10,-90,5,60,33,30,0,0,100,90,-10
10,3.9,18,2,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
1,4,9,2,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
2,4.1,10,3,-80,10,-10,10,-90,5,60,33,25,0,0,100,90,-10
3,4.2,11,3,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
4,4.3,12,2,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
5,4.4,13,3,-80,10,-10,10,-90,5,60,33,25,0,0,100,90,-10
6,4.5,14,3,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
7,4.6,15,2,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
8,4.7,16,3,-80,10,-10,10,-90,5,60,33,25,0,0,100,90,-10
9,4.8,17,3,-80,10,-10,10,-90,5,60,33,30,0,0,100,90,-10
10,4.9,18,2,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
1,5,9,2,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
2,5.1,10,3,-80,10,-10,10,-90,5,60,33,25,0,0,100,90,-10
3,5.2,11,3,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
4,5.3,12,2,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
5,5.4,13,3,-80,10,-10,10,-90,5,60,33,25,0,0,100,90,-10
6,5.5,14,3,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
7,5.6,15,2,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
8,5.7,16,3,-80,10,-10,10,-90,5,60,33,25,0,0,100,270,-10
9,5.8,17,3,-80,10,-10,10,-90,5,60,33,30,0,0,100,90,-10
10,5.9,18,2,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
1,6,9,2,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
2,6.1,10,3,-80,10,-10,10,-90,5,60,33,25,0,0,100,90,-10
3,6.2,11,3,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
4,6.3,12,2,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
5,6.4,13,3,-80,10,-10,10,-90,5,60,33,25,0,0,100,270,-10
6,6.5,14,3,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
7,6.6,15,2,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
8,6.7,16,3,-80,10,-10,10,-90,5,60,33,25,0,0,100,270,-10
9,6.8,17,3,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
10,6.9,18,2,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
1,7,9,2,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
2,7.1,10,3,-80,10,-10,10,-90,5,60,33,25,0,0,100,90,-10
3,7.2,11,3,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
4,7.3,12,2,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
5,7.4,13,3,-80,10,-10,10,-90,5,60,33,25,0,0,100,270,-10
6,7.5,14,3,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
7,7.6,15,2,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
8,7.7,16,3,-80,10,-10,10,-90,5,60,33,25,0,0,100,270,-10
9,7.8,17,3,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
10,7.9,18,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
1,8,9,2,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
2,8.1,10,3,-80,10,-10,10,-90,5,60,33,25,0,0,100,90,-10
3,8.2,11,3,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
4,8.3,12,2,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
5,8.4,13,3,-80,10,-10,10,-90,5,60,33,25,0,0,100,270,-10
6,8.5,14,3,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
7,8.6,15,2,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
8,8.7,16,3,-80,10,-10,10,-90,5,60,33,25,0,0,100,270,-10
9,8.8,17,3,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
10,8.9,18,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
1,9,9,2,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
2,9.1,10,3,-80,10,-10,10,-90,5,60,33,25,0,0,100,270,-10
3,9.2,11,3,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
4,9.3,12,2,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
5,9.4,13,3,-80,10,-10,10,-90,5,60,33,25,0,0,100,270,-10
6,9.5,14,3,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
7,9.6,15,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
8,9.7,16,3,-80,10,-10,10,-90,5,60,33,25,0,0,100,270,-10
9,9.8,17,3,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
10,9.9,18,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
1,10,9,2,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
2,10.1,10,3,-80,10,-10,10,-90,5,60,33,25,0,0,100,270,-10
3,10.2,11,3,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
4,10.3,12,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
5,10.4,13,3,-80,10,-10,10,-90,5,60,33,25,0,0,100,270,-10
6,10.5,14,3,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
7,10.6,15,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
8,10.7,16,3,-80,10,-10,10,-90,5,60,33,25,0,0,100,270,-10
9,10.8,17,3,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
10,10.9,18,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
1,11,9,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
2,11.1,10,3,-80,10,-10,10,-90,5,60,33,25,0,0,100,270,-10
3,11.2,11,2,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
4,11.3,12,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
5,11.4,13,3,-80,10,-10,10,-90,5,60,33,25,0,0,100,270,-10
6,11.5,14,3,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
7,11.6,15,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
8,11.7,16,3,-80,10,-10,10,-90,5,60,33,25,0,0,100,270,-10
9,11.8,17,3,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
10,11.9,18,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
1,12,9,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
2,12.1,10,3,-80,10,-10,10,-90,5,60,33,25,0,0,100,270,-10
3,12.2,11,2,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
4,12.3,12,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
5,12.4,13,2,-80,10,-10,10,-90,5,60,33,25,0,0,100,270,-10
6,12.5,14,3,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
7,12.6,15,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
8,12.7,16,2,-80,10,-10,10,-90,5,60,33,25,0,0,100,270,-10
9,12.8,17,3,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
10,12.9,18,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
1,13,9,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
2,13.1,10,3,-80,10,-10,10,-90,5,60,33,25,0,0,100,270,-10
3,13.2,11,2,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
4,13.3,12,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
5,13.4,13,2,-80,10,-10,10,-90,5,60,33,25,0,0,100,270,-10
6,13.5,14,3,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
7,13.6,15,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
8,13.7,16,2,-80,10,-10,10,-90,5,60,33,25,0,0,100,270,-10
9,13.8,17,3,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
10,13.9,18,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
1,14,9,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
2,14.1,10,3,-80,10,-10,10,-90,5,60,33,25,0,0,100,270,-10
3,14.2,11,2,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
4,14.3,12,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
5,14.4,13,2,-80,10,-10,10,-90,5,60,33,25,0,0,100,270,-10
6,14.5,14,2,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
7,14.6,15,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
8,14.7,16,2,-80,10,-10,10,-90,5,60,33,25,0,0,100,270,-10
9,14.8,17,3,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
10,14.9,18,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
1,15,9,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
2,15.1,10,3,-80,10,-10,10,-90,5,60,33,25,0,0,100,270,-10
3,15.2,11,2,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
4,15.3,12,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
5,15.4,13,2,-80,10,-10,10,-90,5,60,33,25,0,0,100,270,-10
6,15.5,14,2,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
7,15.6,15,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
8,15.7,16,2,-80,10,-10,10,-90,5,60,33,25,0,0,100,270,-10
9,15.8,17,3,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
10,15.9,18,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
1,16,9,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
2,16.1,10,3,-80,10,-10,10,-90,5,60,33,25,0,0,100,270,-10
3,16.2,11,1,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
4,16.3,12,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
5,16.4,13,2,-80,10,-10,10,-90,5,60,33,25,0,0,100,270,-10
6,16.5,14,2,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
7,16.6,15,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
8,16.7,16,2,-80,10,-10,10,-90,5,60,33,25,0,0,100,270,-10
9,16.8,17,3,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
10,16.9,18,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
1,17,9,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
2,17.1,10,2,-80,10,-10,10,-90,5,60,33,25,0,0,100,270,-10
3,17.2,11,1,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
4,17.3,12,3,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
