Time,IMSI,UE_Type,X,Y,Speed,Cell
1,1,pedestrian,101.4,500,1.4,0
1,2,pedestrian,500,101.4,1.4,0
1,3,cyclist,893.739,203.13,7,0
1,4,cyclist,207,800,7,0
1,5,car,111.809,111.809,16.7,0
1,6,car,883.3,900,16.7,0
1,7,car,500,883.3,16.7,0
1,8,fast_car,78,500,28,0
1,9,static,400,400,0,0
1,10,static,600,600,0,0
2,1,pedestrian,102.8,500,1.4,0
2,2,pedestrian,500,102.8,1.4,0
2,3,cyclist,887.478,206.261,7,0
2,4,cyclist,214,800,7,0
2,5,car,123.617,123.617,16.7,0
2,6,car,866.6,900,16.7,0
2,7,car,500,866.6,16.7,0
2,8,fast_car,106,500,28,0
2,9,static,400,400,0,0
2,10,static,600,600,0,0
3,1,pedestrian,104.2,500,1.4,0
3,2,pedestrian,500,104.2,1.4,0
3,3,cyclist,881.217,209.391,7,0
3,4,cyclist,221,800,7,0
3,5,car,135.426,135.426,16.7,0
3,6,car,849.9,900,16.7,0
3,7,car,500,849.9,16.7,0
3,8,fast_car,134,500,28,0
3,9,static,400,400,0,0
3,10,static,600,600,0,0
4,1,pedestrian,105.6,500,1.4,0
4,2,pedestrian,500,105.6,1.4,0
4,3,cyclist,874.956,212.522,7,0
4,4,cyclist,228,800,7,0
4,5,car,147.235,147.235,16.7,0
4,6,car,833.2,900,16.7,0
4,7,car,500,833.2,16.7,0
4,8,fast_car,162,500,28,0
4,9,static,400,400,0,0
4,10,static,600,600,0,0
5,1,pedestrian,107,500,1.4,0
5,2,pedestrian,500,107,1.4,0
5,3,cyclist,868.695,215.652,7,0
5,4,cyclist,235,800,7,0
5,5,car,159.043,159.043,16.7,0
5,6,car,816.5,900,16.7,0
5,7,car,500,816.5,16.7,0
5,8,fast_car,190,500,28,0
5,9,static,400,400,0,0
5,10,static,600,600,0,0
6,1,pedestrian,108.4,500,1.4,0
6,2,pedestrian,500,108.4,1.4,0
6,3,cyclist,862.434,218.783,7,0
6,4,cyclist,242,800,7,0
6,5,car,170.852,170.852,16.7,0
6,6,car,799.8,900,16.7,0
6,7,car,500,799.8,16.7,0
6,8,fast_car,218,500,28,0
6,9,static,400,400,0,0
6,10,static,600,600,0,0
7,1,pedestrian,109.8,500,1.4,0
7,2,pedestrian,500,109.8,1.4,0
7,3,cyclist,856.173,221.913,7,0
7,4,cyclist,249,800,7,0
7,5,car,182.661,182.661,16.7,0
7,6,car,783.1,900,16.7,0
7,7,car,500,783.1,16.7,0
7,8,fast_car,246,500,28,0
7,9,static,400,400,0,0
7,10,static,600,600,0,0
8,1,pedestrian,111.2,500,1.4,0
8,2,pedestrian,500,111.2,1.4,0
8,3,cyclist,849.912,225.044,7,0
8,4,cyclist,256,800,7,0
8,5,car,194.469,194.469,16.7,0
8,6,car,766.4,900,16.7,0
8,7,car,500,766.4,16.7,0
8,8,fast_car,274,500,28,0
8,9,static,400,400,0,0
8,10,static,600,600,0,0
9,1,pedestrian,112.6,500,1.4,0
9,2,pedestrian,500,112.6,1.4,0
9,3,cyclist,843.651,228.174,7,0
9,4,cyclist,263,800,7,0
9,5,car,206.278,206.278,16.7,0
9,6,car,749.7,900,16.7,0
9,7,car,500,749.7,16.7,0
9,8,fast_car,302,500,28,0
9,9,static,400,400,0,0
9,10,static,600,600,0,0
10,1,pedestrian,114,500,1.4,0
10,2,pedestrian,500,114,1.4,0
10,3,cyclist,837.39,231.305,7,0
10,4,cyclist,270,800,7,0
10,5,car,218.087,218.087,16.7,0
10,6,car,733,900,16.7,0
10,7,car,500,733,16.7,0
10,8,fast_car,330,500,28,0
10,9,static,400,400,0,0
10,10,static,600,600,0,0
