Time,UE_ID,X,Y,VelocityX,VelocityY,Event
2,1,420,300,20,0,POSITION
2.5,2,592.5,310,25,0,POSITION
3,3,770,320,30,0,POSITION
3.5,4,470,300,20,0,POSITION
4,5,650,310,25,0,POSITION
4,1,460,300,20,0,POSITION
4.5,6,835,320,30,0,POSITION
4.5,2,642.5,310,25,0,POSITION
5,7,520,300,20,0,POSITION
5,3,710,320,-30,0,POSITION
5.5,8,707.5,310,25,0,POSITION
5.5,4,510,300,20,0,POSITION
6,9,900,320,30,0,POSITION
6,5,700,310,25,0,POSITION
6,1,500,300,20,0,POSITION
6.5,10,570,300,20,0,POSITION
6.5,6,775,320,-30,0,POSITION
6.5,2,692.5,310,25,0,POSITION
7,7,560,300,20,0,POSITION
7,3,650,320,-30,0,POSITION
7.5,8,657.5,310,-25,0,POSITION
7.5,4,550,300,20,0,POSITION
8,9,840,320,-30,0,POSITION
8,5,650,310,-25,0,POSITION
8,1,540,300,20,0,POSITION
8.5,10,610,300,20,0,POSITION
8.5,6,715,320,-30,0,POSITION
8.5,2,742.5,310,25,0,POSITION
9,7,600,300,20,0,POSITION
9,3,590,320,-30,0,POSITION
9.5,8,607.5,310,-25,0,POSITION
9.5,4,590,300,20,0,POSITION
10,9,780,320,-30,0,POSITION
10,5,600,310,-25,0,POSITION
10,1,580,300,20,0,POSITION
10.5,10,650,300,20,0,POSITION
10.5,6,655,320,-30,0,POSITION
10.5,2,692.5,310,-25,0,POSITION
11,7,640,300,20,0,POSITION
11,3,530,320,-30,0,POSITION
11.5,8,557.5,310,-25,0,POSITION
11.5,4,630,300,20,0,POSITION
12,9,720,320,-30,0,POSITION
12,5,550,310,-25,0,POSITION
12,1,620,300,20,0,POSITION
12.5,10,690,300,20,0,POSITION
12.5,6,595,320,-30,0,POSITION
12.5,2,642.5,310,-25,0,POSITION
13,7,680,300,20,0,POSITION
13,3,470,320,-30,0,POSITION
13.5,8,507.5,310,-25,0,POSITION
13.5,4,670,300,20,0,POSITION
14,9,660,320,-30,0,POSITION
14,5,500,310,-25,0,POSITION
14,1,660,300,20,0,POSITION
14.5,10,730,300,20,0,POSITION
14.5,6,535,320,-30,0,POSITION
14.5,2,592.5,310,-25,0,POSITION
15,7,720,300,20,0,POSITION
15,3,410,320,-30,0,POSITION
15.5,8,457.5,310,-25,0,POSITION
15.5,4,710,300,20,0,POSITION
16,9,600,320,-30,0,POSITION
16,5,450,310,-25,0,POSITION
16,1,700,300,20,0,POSITION
16.5,10,690,300,-20,0,POSITION
16.5,6,475,320,-30,0,POSITION
16.5,2,542.5,310,-25,0,POSITION
17,7,680,300,-20,0,POSITION
17,3,350,320,-30,0,POSITION
17.5,8,407.5,310,-25,0,POSITION
17.5,4,670,300,-20,0,POSITION
18,9,540,320,-30,0,POSITION
18,5,400,310,-25,0,POSITION
18,1,740,300,20,0,POSITION
18.5,10,650,300,-20,0,POSITION
18.5,6,415,320,-30,0,POSITION
18.5,2,492.5,310,-25,0,POSITION
19,7,640,300,-20,0,POSITION
19,3,290,320,-30,0,POSITION
19.5,8,357.5,310,-25,0,POSITION
19.5,4,630,300,-20,0,POSITION
20,1,700,300,20,0,REVERSE
20,9,480,320,-30,0,POSITION
20,5,350,310,-25,0,POSITION
20,1,700,300,20,0,POSITION
20.5,10,610,300,-20,0,POSITION
20.5,6,355,320,-30,0,POSITION
20.5,2,442.5,310,-25,0,POSITION
21,7,600,300,-20,0,POSITION
21,3,350,320,30,0,POSITION
21.5,8,307.5,310,-25,0,POSITION
21.5,4,590,300,-20,0,POSITION
22,9,420,320,-30,0,POSITION
22,5,300,310,-25,0,POSITION
22,1,740,300,20,0,POSITION
22.5,10,570,300,-20,0,POSITION
22.5,6,295,320,-30,0,POSITION
22.5,2,392.5,310,-25,0,POSITION
23,7,560,300,-20,0,POSITION
23,3,410,320,30,0,POSITION
23.5,8,257.5,310,-25,0,POSITION
23.5,4,550,300,-20,0,POSITION
24,9,360,320,-30,0,POSITION
24,5,250,310,-25,0,POSITION
24,1,700,300,-20,0,POSITION
24.5,10,530,300,-20,0,POSITION
24.5,6,355,320,30,0,POSITION
24.5,2,342.5,310,-25,0,POSITION
25,7,520,300,-20,0,POSITION
25,3,470,320,30,0,POSITION
25.5,8,307.5,310,25,0,POSITION
25.5,4,510,300,-20,0,POSITION
26,9,300,320,-30,0,POSITION
26,5,300,310,25,0,POSITION
26,1,660,300,-20,0,POSITION
26.5,10,490,300,-20,0,POSITION
26.5,6,415,320,30,0,POSITION
26.5,2,292.5,310,-25,0,POSITION
27,7,480,300,-20,0,POSITION
27,3,530,320,30,0,POSITION
27.5,8,357.5,310,25,0,POSITION
27.5,4,470,300,-20,0,POSITION
28,9,360,320,30,0,POSITION
28,5,350,310,25,0,POSITION
28,1,620,300,-20,0,POSITION
28.5,10,450,300,-20,0,POSITION
28.5,6,475,320,30,0,POSITION
28.5,2,342.5,310,25,0,POSITION
29,7,440,300,-20,0,POSITION
29,3,590,320,30,0,POSITION
29.5,8,407.5,310,25,0,POSITION
29.5,4,430,300,-20,0,POSITION
30,2,380,310,-25,0,REVERSE
30,9,420,320,30,0,POSITION
30,5,400,310,25,0,POSITION
30,1,580,300,-20,0,POSITION
30.5,10,410,300,-20,0,POSITION
30.5,6,535,320,30,0,POSITION
30.5,2,367.5,310,-25,0,POSITION
31,7,400,300,-20,0,POSITION
31,3,650,320,30,0,POSITION
31.5,8,457.5,310,25,0,POSITION
31.5,4,390,300,-20,0,POSITION
32,9,480,320,30,0,POSITION
32,5,450,310,25,0,POSITION
32,1,540,300,-20,0,POSITION
32.5,10,370,300,-20,0,POSITION
32.5,6,595,320,30,0,POSITION
32.5,2,317.5,310,-25,0,POSITION
33,7,360,300,-20,0,POSITION
33,3,710,320,30,0,POSITION
33.5,8,507.5,310,25,0,POSITION
33.5,4,350,300,-20,0,POSITION
34,9,540,320,30,0,POSITION
34,5,500,310,25,0,POSITION
34,1,500,300,-20,0,POSITION
34.5,10,330,300,-20,0,POSITION
34.5,6,655,320,30,0,POSITION
34.5,2,267.5,310,-25,0,POSITION
35,7,320,300,-20,0,POSITION
35,3,650,320,-30,0,POSITION
35.5,8,557.5,310,25,0,POSITION
35.5,4,310,300,-20,0,POSITION
36,9,600,320,30,0,POSITION
36,5,550,310,25,0,POSITION
36,1,460,300,-20,0,POSITION
36.5,10,290,300,-20,0,POSITION
36.5,6,715,320,30,0,POSITION
36.5,2,317.5,310,25,0,POSITION
37,7,280,300,-20,0,POSITION
37,3,590,320,-30,0,POSITION
37.5,8,607.5,310,25,0,POSITION
37.5,4,270,300,-20,0,POSITION
38,9,660,320,30,0,POSITION
38,5,600,310,25,0,POSITION
38,1,420,300,-20,0,POSITION
38.5,10,330,300,20,0,POSITION
38.5,6,655,320,-30,0,POSITION
38.5,2,367.5,310,25,0,POSITION
39,7,320,300,20,0,POSITION
39,3,530,320,-30,0,POSITION
39.5,8,657.5,310,25,0,POSITION
39.5,4,310,300,20,0,POSITION
40,1,380,300,20,0,REVERSE
40,3,500,320,30,0,REVERSE
40,9,720,320,30,0,POSITION
40,5,650,310,25,0,POSITION
40,1,380,300,20,0,POSITION
40.5,10,370,300,20,0,POSITION
40.5,6,595,320,-30,0,POSITION
40.5,2,417.5,310,25,0,POSITION
41,7,360,300,20,0,POSITION
41,3,530,320,30,0,POSITION
41.5,8,707.5,310,25,0,POSITION
41.5,4,350,300,20,0,POSITION
42,9,660,320,-30,0,POSITION
42,5,700,310,25,0,POSITION
42,1,420,300,20,0,POSITION
42.5,10,410,300,20,0,POSITION
42.5,6,535,320,-30,0,POSITION
42.5,2,467.5,310,25,0,POSITION
43,7,400,300,20,0,POSITION
43,3,590,320,30,0,POSITION
43.5,8,657.5,310,-25,0,POSITION
43.5,4,390,300,20,0,POSITION
44,9,600,320,-30,0,POSITION
44,5,650,310,-25,0,POSITION
44,1,460,300,20,0,POSITION
44.5,10,450,300,20,0,POSITION
44.5,6,475,320,-30,0,POSITION
44.5,2,517.5,310,25,0,POSITION
45,7,440,300,20,0,POSITION
45,3,650,320,30,0,POSITION
45.5,8,607.5,310,-25,0,POSITION
45.5,4,430,300,20,0,POSITION
