Time,IMSI,UE_HO_Number,Source_Cell,Target_Cell,Event
0.603001,7,1,1,2,START
0.603001,8,1,2,3,START
0.607214,7,1,1,2,COMPLETE
0.607214,8,1,2,3,COMPLETE
0.803001,4,1,1,2,START
0.803001,5,1,2,3,START
0.807214,4,1,1,2,COMPLETE
0.807214,5,1,2,3,COMPLETE
1.003,1,1,1,2,START
1.003,2,1,2,3,START
1.00721,1,1,1,2,COMPLETE
1.00721,2,1,2,3,COMPLETE
1.803,10,1,2,3,START
1.80721,10,1,2,3,COMPLETE
2.003,7,2,2,3,START
2.00721,7,2,2,3,COMPLETE
2.203,1,2,2,3,START
2.203,4,2,2,3,START
2.20721,1,2,2,3,COMPLETE
2.20721,4,2,2,3,COMPLETE
5.203,2,2,3,2,START
5.20721,2,2,3,2,COMPLETE
6.203,4,3,3,2,START
6.20721,4,3,3,2,COMPLETE
6.403,2,3,2,1,START
6.40721,2,3,2,1,COMPLETE
7.003,1,3,3,2,START
7.00721,1,3,3,2,COMPLETE
7.403,3,1,3,2,START
7.403,4,4,2,1,START
7.40721,4,4,2,1,COMPLETE
7.40721,3,1,3,2,COMPLETE
8.203,1,4,2,1,START
8.20721,1,4,2,1,COMPLETE
8.403,5,2,3,2,START
8.40721,5,2,3,2,COMPLETE
8.603,3,2,2,1,START
8.60721,3,2,2,1,COMPLETE
9.403,7,3,3,2,START
9.40721,7,3,3,2,COMPLETE
9.603,5,3,2,1,START
9.60721,5,3,2,1,COMPLETE
10.603,3,3,1,2,START
10.603,6,1,3,2,START
10.603,7,4,2,1,START
10.6072,7,4,2,1,COMPLETE
10.6072,3,3,1,2,COMPLETE
10.6072,6,1,3,2,COMPLETE
11.603,8,2,3,2,START
11.6072,8,2,3,2,COMPLETE
11.803,2,4,1,2,START
11.803,3,4,2,3,START
11.803,6,2,2,1,START
11.8072,6,2,2,1,COMPLETE
11.8072,2,4,1,2,COMPLETE
11.8072,3,4,2,3,COMPLETE
12.603,10,2,3,2,START
12.6072,10,2,3,2,COMPLETE
12.803,4,5,1,2,START
12.803,8,3,2,1,START
12.8072,8,3,2,1,COMPLETE
12.8072,4,5,1,2,COMPLETE
13.003,1,5,1,2,START
13.003,2,5,2,3,START
13.0072,1,5,1,2,COMPLETE
13.0072,2,5,2,3,COMPLETE
13.803,9,1,3,2,START
13.803,10,3,2,1,START
13.8072,10,3,2,1,COMPLETE
13.8072,9,1,3,2,COMPLETE
