SessionID,ElapsedTime,Node,CellID,Level,SNR,Qual,CQI,SecondCell_RSRP,SecondCell_SNR,NRxLev1,NQual1,Speed,DL_bitrate,UL_bitrate,BANDWIDTH,Bearing,RSRQ
7,0.707214,6,5,-999,-999,-999,0,0,0,0,0,0,0,0,100,0,0,SECONDARY_CHANGE
8,0.707214,7,6,-999,-999,-999,0,0,0,0,0,0,0,0,100,0,0,SECONDARY_CHANGE
4,0.907214,3,5,-999,-999,-999,0,0,0,0,0,0,0,0,100,0,0,SECONDARY_CHANGE
5,0.907214,4,6,-999,-999,-999,0,0,0,0,0,0,0,0,100,0,0,SECONDARY_CHANGE
1,1.10721,0,5,-999,-999,-999,0,0,0,0,0,0,0,0,100,0,0,SECONDARY_CHANGE
2,1.10721,1,6,-999,-999,-999,0,0,0,0,0,0,0,0,100,0,0,SECONDARY_CHANGE
10,1.90721,9,6,-999,-999,-999,0,0,0,0,0,0,0,0,100,0,0,SECONDARY_CHANGE
7,2.10721,6,6,-999,-999,-999,0,0,0,0,0,0,0,0,100,0,0,SECONDARY_CHANGE
1,2.30721,0,6,-999,-999,-999,0,0,0,0,0,0,0,0,100,0,0,SECONDARY_CHANGE
4,2.30721,3,6,-999,-999,-999,0,0,0,0,0,0,0,0,100,0,0,SECONDARY_CHANGE
1,3,9,6,-110.398,12,-126.398,11,-120.398,7,29.6015,-83.3985,120,0,0,100,90,-126.398
2,3.1,10,6,-112.506,10,-129.506,9,-122.506,5,27.4938,-86.5062,125,0,0,100,270,-129.506
3,3.2,11,6,-120,14,-132,11,-130,9,20,-89,130,0,0,100,270,-132
4,3.3,12,6,-119.752,12,-133.752,11,-129.752,7,20.2477,-90.7523,120,0,0,100,90,-133.752
5,3.4,13,6,-120,8,-133,9,-130,3,20,-90,125,0,0,100,90,-133
6,3.5,14,6,-120,11,-132,11,-130,6,20,-89,130,0,0,100,90,-132
7,3.6,15,6,-120,6,-136,9,-130,1,20,-93,120,0,0,100,90,-136
8,3.7,16,6,-120,14,-135,11,-130,9,20,-92,125,0,0,100,90,-135
9,3.8,17,6,-120,7,-134,9,-130,2,20,-91,130,0,0,100,90,-134
10,3.9,18,6,-120,10,-133,9,-130,5,20,-90,120,0,0,100,90,-133
1,4,9,6,-117.278,7,-129.278,9,-127.278,2,22.7223,-86.2777,120,0.4,0,100,270,-129.278
2,4.1,10,6,-75.3919,22,-92.3919,15,-85.3919,17,64.6081,-49.3919,125,0.24,0,100,270,-92.3919
3,4.2,11,6,-120,6,-136,9,-130,1,20,-93,130,0.064,0,100,270,-136
4,4.3,12,6,-108.423,8,-123.423,9,-118.423,3,31.5769,-80.4231,120,0,0,100,270,-123.423
5,4.4,13,6,-120,9,-137,9,-130,4,20,-94,125,0,0,100,270,-137
6,4.5,14,6,-120,9,-134,9,-130,4,20,-91,130,0,0,100,270,-134
7,4.6,15,6,-120,8,-132,9,-130,3,20,-89,120,0,0,100,90,-132
8,4.7,16,6,-120,5,-133,7,-130,0,20,-90,125,0,0,100,90,-133
9,4.8,17,6,-120,7,-135,9,-130,2,20,-92,130,0,0,100,90,-135
10,4.9,18,6,-120,6,-136,9,-130,1,20,-93,120,0,0,100,90,-136
1,5,9,6,-108.398,9,-123.398,9,-118.398,4,31.6015,-80.3985,120,0.4,0,100,270,-123.398
2,5.1,10,6,-112.321,10,-126.321,9,-122.321,5,27.6793,-83.3207,125,0.328,0,100,270,-126.321
3,5.2,11,6,-113.616,8,-128.616,9,-123.616,3,26.3839,-85.6161,130,0.352,0,100,270,-128.616
4,5.3,12,6,-96.1965,10,-108.197,9,-106.197,5,43.8035,-65.1965,120,0.32,0,100,270,-108.197
2,5.30721,1,5,-999,-999,-999,0,0,0,0,0,0,0,0,100,0,0,SECONDARY_CHANGE
5,5.4,13,6,-120,9,-135,9,-130,4,20,-92,125,0.152,0,100,270,-135
6,5.5,14,6,-120,9,-134,9,-130,4,20,-91,130,0,0,100,270,-134
7,5.6,15,6,-120,12,-134,11,-130,7,20,-91,120,0,0,100,270,-134
8,5.7,16,6,-120,13,-132,11,-130,8,20,-89,125,0,0,100,270,-132
9,5.8,17,6,-120,8,-132,9,-130,3,20,-89,130,0,0,100,90,-132
10,5.9,18,6,-120,14,-134,11,-130,9,20,-91,120,0,0,100,90,-134
1,6,9,6,-94.6992,11,-106.699,11,-104.699,6,45.3008,-63.6992,120,0.4,0,100,270,-106.699
2,6.1,10,5,-108.165,7,-121.165,9,-118.165,2,31.8352,-78.1648,125,0.336,0,100,270,-121.165
3,6.2,11,6,-84.8341,14,-96.8341,11,-94.8341,9,55.1659,-53.8341,130,0.384,0,100,270,-96.8341
4,6.3,12,6,-78.1442,15,-93.1442,11,-88.1442,10,61.8558,-50.1442,120,0.224,0,100,270,-93.1442
4,6.30721,3,5,-999,-999,-999,0,0,0,0,0,0,0,0,100,0,0,SECONDARY_CHANGE
5,6.4,13,6,-111.076,12,-127.076,11,-121.076,7,28.9244,-84.0756,125,0.4,0,100,270,-127.076
6,6.5,14,6,-120,7,-137,9,-130,2,20,-94,130,0.24,0,100,270,-137
2,6.50721,1,4,-999,-999,-999,0,0,0,0,0,0,0,0,100,0,0,SECONDARY_CHANGE
7,6.6,15,6,-116.765,7,-128.765,9,-126.765,2,23.2353,-85.7647,120,0.24,0,100,270,-128.765
8,6.7,16,6,-120,5,-133,7,-130,0,20,-90,125,0.072,0,100,270,-133
9,6.8,17,6,-120,10,-133,9,-130,5,20,-90,130,0,0,100,270,-133
10,6.9,18,6,-120,14,-136,11,-130,9,20,-93,120,0,0,100,270,-136
1,7,9,6,-120,6,-135,9,-130,1,20,-92,120,0.264,0,100,270,-135
2,7.1,10,4,-105.187,6,-120.187,9,-115.187,1,34.8133,-77.1867,125,0.272,0,100,270,-120.187
1,7.10721,0,5,-999,-999,-999,0,0,0,0,0,0,0,0,100,0,0,SECONDARY_CHANGE
3,7.2,11,6,-117.702,14,-134.702,11,-127.702,9,22.2979,-91.7021,130,0.4,0,100,270,-134.702
4,7.3,12,5,-112.674,11,-127.674,11,-122.674,6,27.3261,-84.6739,120,0.272,0,100,270,-127.674
5,7.4,13,6,-88.0559,16,-103.056,13,-98.0559,11,51.9441,-60.0559,125,0.408,0,100,270,-103.056
6,7.5,14,6,-120,8,-136,9,-130,3,20,-93,130,0.384,0,100,270,-136
4,7.50721,3,4,-999,-999,-999,0,0,0,0,0,0,0,0,100,0,0,SECONDARY_CHANGE
3,7.50721,2,5,-999,-999,-999,0,0,0,0,0,0,0,0,100,0,0,SECONDARY_CHANGE
7,7.6,15,6,-97.72,13,-111.72,11,-107.72,8,42.28,-68.72,120,0.4,0,100,270,-111.72
8,7.7,16,6,-120,14,-134,11,-130,9,20,-91,125,0.4,0,100,270,-134
9,7.8,17,6,-120,5,-137,7,-130,0,20,-94,130,0.176,0,100,270,-137
10,7.9,18,6,-120,10,-136,9,-130,5,20,-93,120,0.152,0,100,270,-136
1,8,9,5,-117.771,11,-132.771,11,-127.771,6,22.2287,-89.7713,120,0.344,0,100,270,-132.771
2,8.1,10,4,-120,10,-134,9,-130,5,20,-91,125,0.4,0,100,270,-134
3,8.2,11,5,-110.152,6,-125.152,9,-120.152,1,29.8484,-82.1516,130,0.368,0,100,270,-125.152
4,8.3,12,4,-110.886,13,-127.886,11,-120.886,8,29.1143,-84.8857,120,0.352,0,100,270,-127.886
1,8.30721,0,4,-999,-999,-999,0,0,0,0,0,0,0,0,100,0,0,SECONDARY_CHANGE
5,8.4,13,6,-117.197,6,-131.197,9,-127.197,1,22.8031,-88.1969,125,0.248,0,100,270,-131.197
6,8.5,14,6,-117.351,5,-130.351,7,-127.351,0,22.6491,-87.3509,130,0.384,0,100,270,-130.351
5,8.50721,4,5,-999,-999,-999,0,0,0,0,0,0,0,0,100,0,0,SECONDARY_CHANGE
7,8.6,15,6,-103.734,9,-119.734,9,-113.734,4,36.2663,-76.7337,120,0.392,0,100,270,-119.734
8,8.7,16,6,-120,11,-137,11,-130,6,20,-94,125,0.4,0,100,270,-137
3,8.70721,2,4,-999,-999,-999,0,0,0,0,0,0,0,0,100,0,0,SECONDARY_CHANGE
9,8.8,17,6,-120,12,-135,11,-130,7,20,-92,130,0.08,0,100,270,-135
10,8.9,18,6,-120,11,-135,11,-130,6,20,-92,120,0.4,0,100,270,-135
1,9,9,4,-111.398,12,-128.398,11,-121.398,7,28.6015,-85.3985,120,0.312,0,100,270,-128.398
2,9.1,10,4,-116.167,12,-133.167,11,-126.167,7,23.833,-90.167,125,0.408,0,100,90,-133.167
3,9.2,11,4,-96.8602,13,-109.86,11,-106.86,8,43.1398,-66.8602,130,0.24,0,100,90,-109.86
4,9.3,12,4,-120,12,-137,11,-130,7,20,-94,120,0.4,0,100,270,-137
